Date,High_MF,Low_MF,Open_MF,Close_MF,Volume_MF
2021-06-25,330.0,243.60000610351562,319.5,289.79998779296875,371020
2021-06-28,275.1000061035156,258.0,265.79998779296875,265.20001220703125,104630
2021-06-29,268.79998779296875,244.5,267.6000061035156,259.5,97990
2021-06-30,304.79998779296875,249.3000030517578,253.5,259.5,249010
2021-07-01,268.79998779296875,246.60000610351562,262.6499938964844,265.20001220703125,52347
2021-07-02,261.0,245.39999389648438,257.3999938964844,257.70001220703125,37793
2021-07-06,246.60000610351562,231.60000610351562,245.39999389648438,246.60000610351562,46100
2021-07-07,244.8000030517578,231.0,240.3000030517578,239.39999389648438,20120
2021-07-08,227.6999969482422,221.39999389648438,225.0,224.6999969482422,25043
2021-07-09,233.10000610351562,219.89999389648438,233.10000610351562,227.10000610351562,18330
2021-07-12,234.89999389648438,221.10000610351562,234.89999389648438,223.5,13140
2021-07-13,230.39999389648438,218.10000610351562,222.3000030517578,219.0,11470
2021-07-14,219.9600067138672,214.97999572753906,219.0,219.0,8440
2021-07-15,226.8000030517578,213.89999389648438,214.5,224.6999969482422,11840
2021-07-16,247.5,219.0,224.39999389648438,243.0,25657
2021-07-19,240.0,222.3000030517578,240.0,237.60000610351562,20193
2021-07-20,240.3000030517578,228.60000610351562,231.3000030517578,240.3000030517578,9310
2021-07-21,243.60000610351562,235.22999572753906,235.5,239.6999969482422,10397
2021-07-22,242.6999969482422,224.6999969482422,242.6999969482422,225.89999389648438,21680
2021-07-23,213.8699951171875,191.39999389648438,210.0,200.6999969482422,39000
2021-07-26,179.10000610351562,161.49000549316406,177.0,168.0,62533
2021-07-27,171.60000610351562,150.60000610351562,150.60000610351562,171.0,42043
2021-07-28,183.89999389648438,165.0,168.0,183.0,19493
2021-07-29,188.39999389648438,169.1999969482422,187.5,171.89999389648438,13227
2021-07-30,172.1999969482422,166.35000610351562,166.5,167.6999969482422,9110
2021-08-02,173.61000061035156,158.39999389648438,172.5,163.8000030517578,8247
2021-08-03,165.1199951171875,150.0,164.6999969482422,156.0,20267
2021-08-04,159.0,152.10000610351562,159.0,156.0,10507
2021-08-05,158.6999969482422,151.5,154.5,153.60000610351562,10397
2021-08-06,156.0,146.39999389648438,155.6999969482422,148.1999969482422,15513
2021-08-09,150.89999389648438,146.10000610351562,150.89999389648438,147.60000610351562,10063
2021-08-10,150.0,143.6999969482422,150.0,145.1999969482422,7787
2021-08-11,149.10000610351562,144.0,149.10000610351562,146.6999969482422,7607
2021-08-12,147.89999389648438,141.89999389648438,144.60000610351562,146.10000610351562,12823
2021-08-13,146.10000610351562,141.89999389648438,144.0,144.0,10410
2021-08-16,142.1999969482422,132.3000030517578,142.1999969482422,138.60000610351562,12810
2021-08-17,135.0,130.0500030517578,131.6999969482422,133.5,22507
2021-08-18,143.39999389648438,131.39999389648438,134.6999969482422,141.60000610351562,15050
2021-08-19,142.1999969482422,135.60000610351562,141.60000610351562,135.60000610351562,8787
2021-08-20,136.1999969482422,132.3000030517578,134.10000610351562,133.5,7360
2021-08-23,138.3000030517578,130.8000030517578,135.89999389648438,135.60000610351562,17570
2021-08-24,146.6999969482422,140.42999267578125,142.1999969482422,144.89999389648438,18993
2021-08-25,148.1999969482422,142.1999969482422,145.5,144.89999389648438,17947
2021-08-26,150.3000030517578,141.60000610351562,143.10000610351562,145.5,18317
2021-08-27,146.39999389648438,138.0,145.5,139.8000030517578,16940
2021-08-30,140.6999969482422,132.0,139.1999969482422,133.8000030517578,23837
2021-08-31,136.5,126.0,134.10000610351562,128.39999389648438,18353
2021-09-01,132.60000610351562,126.5999984741211,127.19999694824219,131.6999969482422,18170
2021-09-02,131.39999389648438,126.5999984741211,131.39999389648438,127.80000305175781,11347
2021-09-03,129.60000610351562,126.9000015258789,127.80000305175781,128.6999969482422,10657
2021-09-07,134.10000610351562,127.80000305175781,130.1999969482422,131.6999969482422,18710
2021-09-08,132.60000610351562,130.64999389648438,132.0,132.0,8707
2021-09-09,133.1999969482422,129.89999389648438,131.10000610351562,131.6999969482422,8490
2021-09-10,137.10000610351562,129.92999267578125,134.39999389648438,130.1999969482422,11043
2021-09-13,130.1999969482422,123.9000015258789,130.1999969482422,126.9000015258789,10953
