Date,High_WST,Low_WST,Open_WST,Close_WST,Volume_WST
2000-01-03,7.71875,7.5625,7.71875,7.5625,29200
2000-01-04,7.6875,7.59375,7.6875,7.640625,555600
2000-01-05,7.671875,7.5625,7.65625,7.609375,222400
2000-01-06,7.65625,7.5,7.625,7.53125,97600
2000-01-07,7.65625,7.53125,7.53125,7.609375,86400
2000-01-10,7.796875,7.625,7.625,7.765625,92400
2000-01-11,7.75,7.546875,7.734375,7.546875,46800
2000-01-12,7.59375,7.515625,7.515625,7.59375,116800
2000-01-13,7.75,7.59375,7.59375,7.71875,69600
2000-01-14,7.640625,7.53125,7.640625,7.578125,149600
2000-01-18,7.625,7.578125,7.59375,7.609375,104000
2000-01-19,7.625,7.546875,7.546875,7.625,244800
2000-01-20,7.609375,7.5625,7.59375,7.59375,93600
2000-01-21,7.640625,7.59375,7.59375,7.625,144000
2000-01-24,7.65625,7.59375,7.609375,7.59375,114400
2000-01-25,7.921875,7.578125,7.578125,7.921875,307600
2000-01-26,7.921875,7.890625,7.921875,7.90625,5200
2000-01-27,7.890625,7.71875,7.890625,7.71875,37600
2000-01-28,7.84375,7.703125,7.703125,7.765625,294400
2000-01-31,7.78125,7.65625,7.765625,7.734375,181200
2000-02-01,7.796875,7.734375,7.75,7.796875,233600
2000-02-02,7.796875,7.625,7.796875,7.640625,20400
2000-02-03,7.65625,7.5,7.65625,7.5,63200
2000-02-04,7.46875,7.453125,7.46875,7.453125,14800
2000-02-07,7.6875,7.453125,7.453125,7.6875,97200
2000-02-08,7.90625,7.71875,7.71875,7.859375,118400
2000-02-09,7.875,7.84375,7.859375,7.84375,12400
2000-02-10,7.96875,7.8125,7.828125,7.921875,216000
2000-02-11,7.875,7.75,7.875,7.75,101600
2000-02-14,7.890625,7.6875,7.75,7.890625,350000
2000-02-15,7.28125,5.75,5.75,7.09375,1554000
2000-02-16,7.0625,7.0,7.0625,7.0,37200
2000-02-17,7.28125,7.0625,7.078125,7.28125,123200
2000-02-18,7.25,7.140625,7.25,7.140625,33200
2000-02-22,7.140625,6.828125,7.140625,6.953125,284000
2000-02-23,6.953125,6.921875,6.921875,6.953125,33200
2000-02-24,6.953125,6.484375,6.953125,6.65625,149600
2000-02-25,6.65625,6.46875,6.640625,6.65625,134400
2000-02-28,6.9375,6.59375,6.65625,6.875,106000
2000-02-29,7.359375,6.875,6.875,7.359375,187600
2000-03-01,7.625,7.25,7.359375,7.265625,81200
2000-03-02,7.25,7.0,7.25,7.03125,79200
2000-03-03,7.0625,6.859375,7.0625,6.859375,19200
2000-03-06,6.96875,6.765625,6.84375,6.953125,48400
2000-03-07,7.0,6.9375,6.953125,6.9375,44400
2000-03-08,6.96875,6.75,6.9375,6.890625,115200
2000-03-09,6.875,6.75,6.875,6.78125,28000
2000-03-10,6.8125,6.59375,6.8125,6.59375,50000
2000-03-13,6.65625,6.453125,6.65625,6.453125,72800
2000-03-14,6.46875,6.34375,6.46875,6.46875,230800
2000-03-15,6.5625,6.453125,6.46875,6.53125,41200
2000-03-16,6.84375,6.546875,6.546875,6.84375,68800
2000-03-17,6.8125,6.6875,6.78125,6.78125,82400
2000-03-20,6.8125,6.703125,6.8125,6.703125,32400
2000-03-21,6.78125,6.625,6.65625,6.78125,34800
2000-03-22,6.75,6.65625,6.75,6.65625,31200
2000-03-23,6.65625,6.59375,6.65625,6.609375,38000
2000-03-24,6.59375,6.546875,6.59375,6.546875,65600
2000-03-27,6.578125,6.4375,6.5,6.578125,174000
2000-03-28,6.609375,6.546875,6.578125,6.546875,81200
2000-03-29,6.4375,6.28125,6.40625,6.34375,105200
2000-03-30,6.640625,6.3125,6.3125,6.640625,131200
2000-03-31,6.765625,6.328125,6.609375,6.328125,390400
2000-04-03,6.375,6.125,6.359375,6.125,204400
2000-04-04,6.109375,5.96875,6.109375,6.0625,187200
2000-04-05,6.25,6.03125,6.03125,6.1875,104400
2000-04-06,6.234375,6.078125,6.1875,6.09375,136000
2000-04-07,6.140625,6.03125,6.125,6.03125,31600
2000-04-10,6.03125,5.828125,6.03125,5.828125,89600
2000-04-11,5.859375,5.71875,5.859375,5.734375,106400
2000-04-12,5.828125,5.71875,5.734375,5.8125,188800
2000-04-13,5.890625,5.75,5.828125,5.875,231200
2000-04-14,5.96875,5.875,5.90625,5.921875,79600
2000-04-17,6.0,5.828125,5.890625,6.0,30400
2000-04-18,6.25,5.96875,5.96875,6.21875,111600
2000-04-19,6.1875,6.0,6.1875,6.125,88000
2000-04-20,6.140625,6.03125,6.140625,6.046875,249600
2000-04-24,6.0625,6.03125,6.046875,6.0625,50400
2000-04-25,6.15625,6.0,6.03125,6.15625,220000
2000-04-26,6.15625,6.0625,6.15625,6.0625,28800
2000-04-27,6.15625,6.09375,6.09375,6.15625,15200
2000-04-28,6.15625,6.046875,6.15625,6.109375,64800
2000-05-01,6.109375,6.015625,6.09375,6.0625,70800
2000-05-02,6.046875,5.875,6.046875,5.875,408800
2000-05-03,5.890625,5.734375,5.890625,5.734375,190000
2000-05-04,5.890625,5.78125,5.78125,5.875,96000
2000-05-05,5.875,5.8125,5.8125,5.859375,38400
2000-05-08,5.90625,5.875,5.890625,5.875,96000
2000-05-09,5.90625,5.796875,5.875,5.796875,16400
2000-05-10,5.78125,5.640625,5.78125,5.65625,88800
2000-05-11,5.9375,5.71875,5.71875,5.890625,108000
2000-05-12,5.921875,5.859375,5.890625,5.90625,129200
2000-05-15,5.90625,5.859375,5.90625,5.875,29600
2000-05-16,5.921875,5.890625,5.90625,5.890625,64800
2000-05-17,5.875,5.828125,5.859375,5.828125,77600
2000-05-18,5.84375,5.796875,5.828125,5.828125,106800
2000-05-19,5.828125,5.78125,5.828125,5.78125,95200
2000-05-22,5.796875,5.71875,5.78125,5.75,55600
2000-05-23,5.75,5.71875,5.734375,5.734375,308800
2000-05-24,5.8125,5.71875,5.734375,5.8125,88000
2000-05-25,5.890625,5.84375,5.84375,5.875,45200
2000-05-26,5.890625,5.875,5.875,5.875,111600
2000-05-30,5.84375,5.796875,5.8125,5.84375,38000
2000-05-31,5.984375,5.828125,5.828125,5.875,42800
2000-06-01,5.90625,5.875,5.875,5.90625,236800
2000-06-02,6.0,5.9375,5.9375,6.0,232400
2000-06-05,5.96875,5.9375,5.96875,5.9375,99600
2000-06-06,5.96875,5.9375,5.9375,5.9375,136800
2000-06-07,5.9375,5.90625,5.9375,5.9375,225200
2000-06-08,5.921875,5.90625,5.90625,5.921875,166000
2000-06-09,5.96875,5.90625,5.90625,5.953125,158400
2000-06-12,5.96875,5.90625,5.96875,5.921875,99600
2000-06-13,5.921875,5.859375,5.921875,5.890625,80400
2000-06-14,5.875,5.84375,5.875,5.84375,136000
2000-06-15,5.875,5.828125,5.84375,5.875,55200
2000-06-16,5.875,5.859375,5.875,5.859375,140400
2000-06-19,5.859375,5.8125,5.859375,5.84375,50400
2000-06-20,5.828125,5.78125,5.828125,5.8125,48000
2000-06-21,5.84375,5.8125,5.84375,5.8125,34000
2000-06-22,5.46875,5.125,5.46875,5.125,292800
2000-06-23,5.0625,4.90625,5.0625,5.015625,260000
2000-06-26,5.34375,5.03125,5.03125,5.234375,120400
2000-06-27,5.234375,5.171875,5.171875,5.203125,43200
2000-06-28,5.234375,5.03125,5.234375,5.21875,96000
2000-06-29,5.1875,5.15625,5.1875,5.171875,65600
2000-06-30,5.40625,5.203125,5.203125,5.40625,202400
2000-07-03,5.390625,5.375,5.375,5.375,11600
2000-07-05,5.359375,5.21875,5.359375,5.21875,58800
2000-07-06,5.21875,5.078125,5.21875,5.15625,55200
2000-07-07,5.1875,5.125,5.125,5.1875,68000
2000-07-10,5.234375,5.179687976837158,5.21875,5.21875,49200
2000-07-11,5.25,5.203125,5.21875,5.25,24000
2000-07-12,5.28125,5.234375,5.25,5.28125,60800
2000-07-13,5.28125,5.1875,5.265625,5.1875,441600
2000-07-14,5.265625,5.1875,5.1875,5.265625,16400
2000-07-17,5.28125,5.25,5.25,5.28125,56400
2000-07-18,5.3125,5.234375,5.3125,5.234375,25600
2000-07-19,5.234375,5.0625,5.234375,5.109375,86400
2000-07-20,5.03125,4.90625,5.03125,4.96875,96400
2000-07-21,5.09375,4.953125,4.953125,5.09375,119200
2000-07-24,5.125,5.0625,5.078125,5.0625,179200
2000-07-25,5.1875,5.0,5.03125,5.1875,259600
2000-07-26,5.171875,5.109375,5.15625,5.109375,71600
2000-07-27,5.109375,5.078125,5.109375,5.078125,5600
2000-07-28,5.078125,5.0,5.078125,5.0625,53200
2000-07-31,5.15625,5.0625,5.0625,5.15625,26000
2000-08-01,5.15625,5.125,5.125,5.125,31600
2000-08-02,5.3125,5.15625,5.15625,5.25,97200
2000-08-03,5.296875,5.234375,5.28125,5.234375,50000
2000-08-04,5.265625,5.203125,5.21875,5.21875,53600
2000-08-07,5.25,5.1875,5.234375,5.203125,22000
2000-08-08,5.21875,5.15625,5.21875,5.203125,56800
2000-08-09,5.375,5.1875,5.1875,5.34375,80400
2000-08-10,5.34375,5.1875,5.34375,5.1875,88400
2000-08-11,5.1875,5.15625,5.1875,5.15625,38400
2000-08-14,5.15625,5.078125,5.15625,5.109375,43200
2000-08-15,5.15625,5.125,5.15625,5.125,25600
2000-08-16,5.125,5.09375,5.09375,5.109375,33200
2000-08-17,5.15625,5.125,5.140625,5.15625,40400
2000-08-18,5.125,5.109375,5.125,5.109375,6400
2000-08-21,5.125,5.125,5.125,5.125,4000
2000-08-22,5.109375,5.046875,5.09375,5.046875,20000
2000-08-23,5.078125,5.0625,5.0625,5.078125,245600
2000-08-24,5.0625,4.90625,5.015625,5.046875,104000
2000-08-25,5.0625,5.015625,5.015625,5.0625,33600
2000-08-28,5.0625,5.0625,5.0625,5.0625,800
2000-08-29,5.171875,4.96875,5.0625,5.0625,1442400
2000-08-30,5.234375,5.078125,5.078125,5.1875,94000
2000-08-31,5.21875,5.15625,5.203125,5.203125,96000
2000-09-01,5.203125,5.140625,5.203125,5.140625,16000
2000-09-05,5.375,5.171875,5.1875,5.296875,107200
2000-09-06,5.53125,5.25,5.265625,5.5,110400
2000-09-07,5.671875,5.5625,5.5625,5.640625,76000
2000-09-08,5.71875,5.640625,5.640625,5.65625,55200
2000-09-11,5.703125,5.65625,5.671875,5.65625,24000
2000-09-12,5.671875,5.625,5.65625,5.625,55200
2000-09-13,5.671875,5.609375,5.640625,5.671875,55600
2000-09-14,5.671875,5.640625,5.65625,5.65625,54800
2000-09-15,5.6875,5.59375,5.59375,5.609375,60400
2000-09-18,5.59375,5.40625,5.59375,5.40625,29600
2000-09-19,5.484375,5.40625,5.40625,5.484375,41600
2000-09-20,5.484375,5.46875,5.484375,5.46875,27600
2000-09-21,5.4375,5.3125,5.4375,5.3125,18400
2000-09-22,5.296875,5.25,5.28125,5.265625,24000
2000-09-25,5.421875,5.234375,5.234375,5.40625,29200
2000-09-26,5.578125,5.421875,5.421875,5.5625,59600
2000-09-27,5.75,5.5,5.5,5.71875,172400
2000-09-28,5.96875,5.6875,5.71875,5.9375,157200
2000-09-29,5.953125,5.8125,5.953125,5.8125,123600
2000-10-02,5.84375,5.75,5.828125,5.828125,54800
2000-10-03,5.875,5.828125,5.828125,5.859375,24000
2000-10-04,5.921875,5.859375,5.875,5.921875,43600
2000-10-05,5.921875,5.84375,5.921875,5.84375,86400
2000-10-06,5.90625,5.828125,5.875,5.828125,59600
2000-10-09,5.921875,5.71875,5.71875,5.890625,96400
2000-10-10,5.875,5.8125,5.875,5.828125,10800
2000-10-11,5.859375,5.78125,5.78125,5.828125,106800
2000-10-12,5.828125,5.6875,5.796875,5.6875,36000
2000-10-13,5.828125,5.71875,5.71875,5.828125,25200
2000-10-16,5.84375,5.71875,5.84375,5.734375,102800
2000-10-17,5.734375,5.53125,5.703125,5.53125,52000
2000-10-18,5.5625,5.484375,5.5,5.546875,28800
2000-10-19,5.5625,5.484375,5.5625,5.53125,48000
2000-10-20,5.5,5.46875,5.5,5.484375,12400
2000-10-23,5.484375,5.390625,5.453125,5.40625,34000
2000-10-24,5.484375,5.421875,5.4375,5.46875,22800
2000-10-25,5.484375,5.375,5.40625,5.375,113600
2000-10-26,5.484375,5.375,5.375,5.484375,18800
2000-10-27,5.5,5.453125,5.453125,5.484375,101600
2000-10-30,5.484375,5.421875,5.46875,5.4375,77200
2000-10-31,5.5,5.3125,5.40625,5.5,66800
2000-11-01,5.5,5.46875,5.5,5.46875,40400
2000-11-02,5.484375,5.375,5.4375,5.484375,95600
2000-11-03,5.4375,5.40625,5.421875,5.4375,131600
2000-11-06,5.4375,5.34375,5.4375,5.375,58400
2000-11-07,5.40625,5.375,5.390625,5.40625,36800
2000-11-08,5.421875,5.265625,5.40625,5.265625,17200
2000-11-09,5.265625,5.171875,5.25,5.1875,50400
2000-11-10,5.28125,5.1875,5.1875,5.25,66800
