Date,High_SPG,Low_SPG,Open_SPG,Close_SPG,Volume_SPG
2000-01-03,21.405298233032227,20.709192276000977,21.173263549804688,20.999237060546875,348976
2000-01-04,21.0572452545166,20.303129196166992,20.94122886657715,20.767200469970703,360828
2000-01-05,20.999237060546875,20.419147491455078,20.419147491455078,20.94122886657715,246621
2000-01-06,21.463308334350586,20.88321876525879,20.999237060546875,21.463308334350586,218609
2000-01-07,22.449459075927734,21.3472900390625,21.405298233032227,22.391450881958008,309543
2000-01-10,22.62348747253418,21.985389709472656,22.507469177246094,22.62348747253418,324950
2000-01-11,22.971540451049805,22.449459075927734,22.85552215576172,22.56547737121582,383238
2000-01-12,22.56547737121582,22.217424392700195,22.33344268798828,22.56547737121582,420302
2000-01-13,22.56547737121582,22.217424392700195,22.391450881958008,22.56547737121582,328290
2000-01-14,22.913532257080078,22.507469177246094,22.56547737121582,22.913532257080078,411359
2000-01-18,23.14556884765625,22.739505767822266,22.913532257080078,23.029550552368164,400908
2000-01-19,23.203577041625977,22.913532257080078,22.971540451049805,23.14556884765625,250931
2000-01-20,23.261585235595703,23.029550552368164,23.203577041625977,23.261585235595703,176266
2000-01-21,23.5516300201416,23.14556884765625,23.14556884765625,23.5516300201416,356411
2000-01-24,23.667648315429688,23.14556884765625,23.435611724853516,23.31959342956543,231645
2000-01-25,23.435611724853516,23.029550552368164,23.31959342956543,23.08755874633789,299307
2000-01-26,23.14556884765625,22.971540451049805,23.029550552368164,23.14556884765625,192535
2000-01-27,23.31959342956543,23.08755874633789,23.261585235595703,23.261585235595703,253517
2000-01-28,23.261585235595703,23.029550552368164,23.261585235595703,23.14556884765625,119701
2000-01-31,23.261585235595703,22.85552215576172,23.203577041625977,22.913532257080078,139418
2000-02-01,23.203577041625977,22.85552215576172,23.029550552368164,23.029550552368164,382915
2000-02-02,22.681495666503906,22.33344268798828,22.507469177246094,22.507469177246094,435170
