Date,High_MSI,Low_MSI,Open_MSI,Close_MSI,Volume_MSI
2000-01-03,185.27366638183594,176.37933349609375,182.40939331054688,179.69586181640625,3421109
2000-01-04,175.7763214111328,165.2237091064453,173.0627899169922,166.2789764404297,4138266
2000-01-05,165.67596435546875,157.68612670898438,165.2237091064453,161.9071807861328,4684611
2000-01-06,161.60568237304688,142.30947875976562,161.00267028808594,143.51548767089844,4776899
2000-01-07,155.7263641357422,147.0581512451172,148.33953857421875,155.3494873046875,6554244
2000-01-10,173.2135467529297,158.4398956298828,159.64590454101562,168.54025268554688,5134690
2000-01-11,169.8970184326172,159.72128295898438,162.96243286132812,160.09815979003906,3475669
2000-01-12,167.56036376953125,160.09815979003906,162.6609344482422,161.37954711914062,3480561
2000-01-13,169.44476318359375,161.9071807861328,164.46995544433594,167.1081085205078,2550720
2000-01-14,185.87667846679688,173.66580200195312,173.66580200195312,182.10789489746094,5250692
2000-01-18,177.6607208251953,172.00753784179688,173.0627899169922,173.66580200195312,6882599
2000-01-19,175.39944458007812,168.8417510986328,173.3643035888672,169.7462615966797,3470694
2000-01-20,175.47482299804688,169.29400634765625,170.801513671875,170.04776000976562,3801121
2000-01-21,178.11297607421875,172.91204833984375,177.58534240722656,174.11805725097656,3059089
2000-01-24,177.81146240234375,167.93724060058594,176.6808319091797,167.93724060058594,2647319
2000-01-25,171.6306610107422,165.6005859375,169.29400634765625,171.40452575683594,3092422
2000-01-26,176.07781982421875,164.31919860839844,171.10302734375,168.23873901367188,3329567
2000-01-27,169.5955047607422,163.71620178222656,168.8417510986328,164.0177001953125,3554358
2000-01-28,169.44476318359375,150.75155639648438,167.03273010253906,154.6710968017578,4720764
2000-01-31,164.92221069335938,152.33445739746094,154.9726104736328,164.0177001953125,4248298
2000-02-01,168.23873901367188,160.62579345703125,166.1282196044922,165.07296752929688,3473098
2000-02-02,178.03759765625,165.14833068847656,165.2237091064453,174.4195556640625,4112644
2000-02-03,184.4445343017578,176.22857666015625,176.22857666015625,184.21841430664062,4438097
2000-02-04,190.0223388671875,181.3541259765625,184.4445343017578,188.13795471191406,4362890
2000-02-07,191.83135986328125,184.74603271484375,186.4796905517578,191.60523986816406,2049647
2000-02-08,194.62026977539062,188.8163299560547,192.96200561523438,192.81124877929688,3258756
2000-02-09,192.96200561523438,183.4646453857422,192.96200561523438,185.1982879638672,3167131
2000-02-10,189.87159729003906,185.27366638183594,185.4998016357422,187.27113342285156,3327163
2000-02-11,187.2334442138672,179.0928497314453,186.3289337158203,182.40939331054688,3018045
2000-02-14,184.06765747070312,176.45469665527344,184.06765747070312,177.58534240722656,3015060
2000-02-15,180.8264923095703,172.53515625,178.86672973632812,179.6204833984375,3595651
2000-02-16,182.10789489746094,177.43458557128906,179.6204833984375,178.33909606933594,2499145
2000-02-17,179.2436065673828,172.4597930908203,175.47482299804688,177.58534240722656,3399550
2000-02-18,178.48985290527344,174.4195556640625,177.43458557128906,174.7964324951172,2545247
2000-02-22,191.00222778320312,174.34417724609375,176.07781982421875,189.04246520996094,4098216
2000-02-23,195.1479034423828,182.63551330566406,185.57518005371094,193.86651611328125,4036359
