Date,High_CAT,Low_CAT,Open_CAT,Close_CAT,Volume_CAT
2000-01-03,24.5,23.84375,23.84375,24.3125,5055000
2000-01-04,24.875,24.0,24.3125,24.0,6181400
2000-01-05,25.09375,24.0,24.0,24.5625,6398600
2000-01-06,26.125,25.28125,25.28125,25.8125,5140600
2000-01-07,27.5625,26.375,26.375,26.65625,6360200
2000-01-10,27.28125,25.75,26.65625,25.78125,3682200
2000-01-11,26.59375,25.375,25.78125,25.375,3945600
2000-01-12,26.15625,25.5625,25.5625,25.8125,3401000
2000-01-13,26.6875,26.03125,26.03125,26.09375,3129400
2000-01-14,26.4375,25.9375,26.09375,25.96875,3044400
2000-01-18,25.875,24.9375,25.875,24.96875,4054200
2000-01-19,25.34375,24.65625,24.96875,24.65625,3424600
2000-01-20,24.96875,23.53125,24.65625,23.5625,4279200
2000-01-21,23.96875,22.8125,23.5625,23.6875,5000000
2000-01-24,23.625,22.53125,23.625,22.65625,5385600
2000-01-25,22.5,21.28125,22.5,21.8125,6084200
2000-01-26,22.84375,21.6875,21.8125,22.46875,4188200
2000-01-27,22.78125,22.0,22.46875,22.28125,3340800
2000-01-28,22.59375,21.75,22.28125,21.75,4851600
2000-01-31,21.96875,21.21875,21.75,21.21875,3677000
2000-02-01,22.03125,21.375,21.375,21.59375,2930200
2000-02-02,22.375,21.4375,21.59375,21.71875,2933600
2000-02-03,21.625,21.0625,21.625,21.15625,4343400
2000-02-04,21.40625,20.625,21.15625,21.15625,4122000
2000-02-07,20.90625,20.375,20.90625,20.625,4089800
2000-02-08,20.75,20.0,20.625,20.5,5848400
2000-02-09,20.59375,19.5625,20.5,19.5625,5934800
2000-02-10,19.78125,18.8125,19.5625,19.03125,5807400
2000-02-11,18.9375,17.4375,18.9375,18.0,11944800
2000-02-14,19.46875,18.125,18.125,19.3125,6787800
2000-02-15,20.375,19.3125,19.3125,20.0,6048200
2000-02-16,20.3125,19.40625,20.0,19.59375,3881400
2000-02-17,19.5625,18.84375,19.5625,19.34375,3824200
2000-02-18,19.1875,18.6875,19.1875,18.84375,3017800
2000-02-22,19.4375,18.75,18.84375,19.15625,4028800
2000-02-23,19.34375,18.59375,19.15625,18.90625,4894400
2000-02-24,18.9375,18.125,18.90625,18.125,4488200
2000-02-25,18.75,17.9375,18.125,18.0,4139800
2000-02-28,18.3125,17.6875,18.0,17.78125,3319200
2000-02-29,18.21875,17.5,17.78125,17.53125,4805800
2000-03-01,17.90625,17.4375,17.53125,17.4375,4841600
2000-03-02,17.5,17.09375,17.4375,17.21875,3956000
2000-03-03,18.65625,17.25,17.25,18.1875,4805800
2000-03-06,19.0,18.21875,18.21875,18.34375,5260400
2000-03-07,18.25,16.75,18.25,16.90625,8780800
2000-03-08,18.21875,17.3125,17.3125,17.46875,5772000
2000-03-09,17.6875,17.125,17.46875,17.625,4904400
2000-03-10,18.375,17.40625,17.625,17.84375,5335400
2000-03-13,18.0625,17.5,17.84375,17.8125,3304800
2000-03-14,18.59375,17.875,17.875,17.90625,6545400
2000-03-15,19.53125,17.8125,17.90625,19.125,6827400
2000-03-16,20.8125,19.46875,19.46875,20.34375,7723400
2000-03-17,20.15625,19.53125,20.15625,19.8125,4798800
2000-03-20,20.28125,19.21875,19.8125,19.25,4407600
2000-03-21,20.03125,19.21875,19.25,19.90625,3065800
2000-03-22,19.8125,19.375,19.8125,19.46875,2487200
2000-03-23,20.09375,19.625,19.625,19.78125,3596000
2000-03-24,20.0,19.625,19.78125,19.75,2277600
2000-03-27,20.3125,19.5,19.75,19.53125,2241200
2000-03-28,19.5625,19.15625,19.53125,19.15625,2619200
2000-03-29,19.78125,18.84375,19.15625,19.5,3778000
2000-03-30,20.65625,19.4375,19.5,20.375,4877800
2000-03-31,20.5625,19.65625,20.375,19.71875,4850400
2000-04-03,21.125,19.71875,19.71875,20.9375,4664200
2000-04-04,22.0625,20.4375,20.9375,21.71875,7259000
2000-04-05,21.9375,21.125,21.71875,21.21875,3759200
2000-04-06,21.8125,21.125,21.21875,21.15625,2104800
2000-04-07,21.21875,20.625,21.15625,20.6875,2937400
2000-04-10,21.0625,20.5625,20.6875,20.71875,1890600
2000-04-11,21.625,20.8125,20.8125,21.03125,3531600
2000-04-12,22.375,21.375,21.375,21.71875,4224400
2000-04-13,22.4375,20.90625,21.71875,21.0,4334200
2000-04-14,21.0,20.09375,21.0,20.25,4287000
2000-04-17,21.21875,20.125,20.25,20.46875,3754200
2000-04-18,21.75,19.6875,20.46875,20.125,9957200
2000-04-19,19.46875,18.5,19.46875,18.8125,8557000
2000-04-20,19.15625,18.75,18.8125,19.0,4924600
2000-04-24,19.5625,19.09375,19.09375,19.5,3312200
2000-04-25,20.25,19.5,19.5,20.0625,4381400
2000-04-26,20.34375,19.75,20.0625,19.875,4544400
2000-04-27,20.21875,19.46875,19.875,20.0625,2903600
2000-04-28,20.5,19.625,20.0625,19.71875,3741600
2000-05-01,19.84375,19.40625,19.71875,19.40625,2637800
2000-05-02,19.96875,19.03125,19.40625,19.8125,2840800
2000-05-03,19.6875,19.25,19.6875,19.4375,2442600
2000-05-04,19.46875,18.9375,19.4375,18.96875,2377000
2000-05-05,19.6875,18.9375,18.96875,19.53125,2544600
2000-05-08,19.875,19.28125,19.53125,19.46875,2078600
2000-05-09,20.0,18.96875,19.46875,19.0,3078800
2000-05-10,19.21875,18.78125,19.0,19.1875,2391400
2000-05-11,19.78125,18.84375,19.1875,19.40625,2617600
2000-05-12,19.9375,19.3125,19.40625,19.6875,1927800
2000-05-15,20.375,19.78125,19.78125,20.28125,3531000
2000-05-16,20.875,20.09375,20.28125,20.125,4066000
2000-05-17,20.34375,19.9375,20.125,20.0,1526600
2000-05-18,20.0,19.25,20.0,19.40625,3559200
2000-05-19,20.21875,19.25,19.40625,20.03125,3942200
2000-05-22,20.34375,19.8125,20.03125,20.09375,2443000
2000-05-23,20.34375,19.5,20.09375,19.75,2005600
2000-05-24,20.25,19.375,19.75,19.84375,2075000
2000-05-25,19.9375,18.90625,19.84375,19.03125,2763800
2000-05-26,19.40625,18.9375,19.03125,19.0625,1908200
2000-05-30,19.40625,19.0625,19.0625,19.15625,1614200
2000-05-31,19.21875,18.9375,19.15625,19.125,2925400
2000-06-01,20.0,19.40625,19.40625,19.875,2835400
2000-06-02,21.25,20.125,20.125,20.53125,4491400
2000-06-05,20.4375,19.28125,20.4375,20.0,3871600
2000-06-06,19.78125,19.09375,19.78125,19.53125,3697400
2000-06-07,19.40625,19.0625,19.40625,19.40625,3017600
2000-06-08,19.21875,18.84375,19.21875,19.0625,2418800
2000-06-09,19.28125,18.875,19.0625,19.125,1819600
2000-06-12,19.53125,18.84375,19.125,19.3125,2635600
2000-06-13,19.28125,18.5,19.28125,18.625,3154800
2000-06-14,19.125,18.5625,18.625,18.8125,3292600
2000-06-15,19.0,18.40625,18.8125,18.5,2703400
2000-06-16,18.5625,17.9375,18.5,17.96875,5510400
2000-06-19,18.25,17.5625,17.96875,17.5625,3703200
2000-06-20,17.84375,17.5,17.5625,17.53125,3212400
2000-06-21,17.75,17.46875,17.53125,17.5625,2569000
2000-06-22,17.6875,17.15625,17.5625,17.21875,3490200
2000-06-23,17.5625,17.21875,17.21875,17.3125,1787400
2000-06-26,17.84375,17.34375,17.34375,17.40625,1959000
2000-06-27,18.25,17.34375,17.40625,17.84375,2754800
2000-06-28,18.375,18.0,18.0,18.078125,2527200
