Date,High_RMS.PA,Low_RMS.PA,Open_RMS.PA,Close_RMS.PA,Volume_RMS.PA
2000-01-03,50.0,48.33333206176758,49.666664123535156,49.03333282470703,16395
2000-01-04,48.766666412353516,45.53333282470703,48.766666412353516,46.03333282470703,33063
2000-01-05,45.0,41.83333206176758,45.0,42.666664123535156,55344
2000-01-06,42.666664123535156,41.666664123535156,42.666664123535156,41.666664123535156,97941
2000-01-07,44.33333206176758,42.0,42.666664123535156,44.33333206176758,131712
2000-01-10,46.666664123535156,45.0,45.0,45.83333206176758,61107
2000-01-11,45.83333206176758,43.666664123535156,45.666664123535156,44.266666412353516,48825
2000-01-12,45.29999923706055,42.53333282470703,44.0,44.96666717529297,96495
2000-01-13,46.96666717529297,43.83333206176758,44.29999923706055,46.96666717529297,62985
2000-01-14,51.633331298828125,46.5,46.79999923706055,51.633331298828125,125832
2000-01-17,52.666664123535156,49.766666412353516,51.666664123535156,50.0,108501
2000-01-18,50.0,45.83333206176758,50.0,47.33333206176758,24591
2000-01-19,48.266666412353516,46.06666564941406,46.36666488647461,46.733333587646484,21252
2000-01-20,48.666664123535156,47.0,47.733333587646484,47.666664123535156,37446
2000-01-21,48.0,45.0,46.666664123535156,45.0,66024
2000-01-24,48.266666412353516,44.36666488647461,45.0,44.5,66510
2000-01-25,47.36666488647461,44.33333206176758,46.96666717529297,44.36666488647461,46248
2000-01-26,48.266666412353516,44.70000076293945,44.70000076293945,46.733333587646484,110400
2000-01-27,48.233333587646484,46.733333587646484,46.733333587646484,47.733333587646484,15840
2000-01-28,49.666664123535156,46.099998474121094,46.099998474121094,47.766666412353516,18228
2000-01-31,49.266666412353516,45.33333206176758,49.266666412353516,46.0,30558
2000-02-01,47.33333206176758,44.96666717529297,46.0,46.0,51408
2000-02-02,49.33333206176758,46.666664123535156,46.666664123535156,47.03333282470703,53847
2000-02-03,49.33333206176758,46.20000076293945,47.03333282470703,49.33333206176758,17265
2000-02-04,49.766666412353516,45.166664123535156,46.83333206176758,45.166664123535156,47211
2000-02-07,47.86666488647461,45.33333206176758,45.33333206176758,47.5,40047
2000-02-08,48.36666488647461,46.53333282470703,46.70000076293945,46.86666488647461,41514
2000-02-09,50.0,47.166664123535156,48.166664123535156,50.0,77907
2000-02-10,50.0,47.33333206176758,48.33333206176758,48.400001525878906,54867
2000-02-11,50.0,47.36666488647461,47.36666488647461,50.0,92031
2000-02-14,50.0,47.70000076293945,50.0,47.70000076293945,85329
2000-02-15,49.33333206176758,47.33333206176758,49.33333206176758,48.0,87474
2000-02-16,50.666664123535156,47.0,47.33333206176758,50.666664123535156,33183
2000-02-17,49.46666717529297,46.06666564941406,46.733333587646484,46.20000076293945,56823
2000-02-18,49.666664123535156,46.33333206176758,49.666664123535156,46.33333206176758,41145
2000-02-21,49.33333206176758,44.666664123535156,46.5,48.29999923706055,61923
2000-02-22,48.400001525878906,44.70000076293945,47.53333282470703,45.0,39897
2000-02-23,46.5,42.0,44.83333206176758,42.5,69696
2000-02-24,44.633331298828125,42.666664123535156,43.5,42.666664123535156,57138
2000-02-25,44.666664123535156,40.0,44.666664123535156,42.166664123535156,67137
2000-02-28,44.83333206176758,42.5,44.83333206176758,44.166664123535156,46977
2000-02-29,44.79999923706055,42.36666488647461,44.79999923706055,43.666664123535156,68526
2000-03-01,44.96666717529297,43.70000076293945,43.70000076293945,44.166664123535156,23763
2000-03-02,48.266666412353516,44.03333282470703,44.03333282470703,46.33333206176758,70377
2000-03-03,47.233333587646484,41.733333587646484,46.666664123535156,41.733333587646484,82797
2000-03-06,44.166664123535156,42.29999923706055,43.79999923706055,42.666664123535156,39672
2000-03-07,45.733333587646484,42.666664123535156,42.666664123535156,44.5,52551
2000-03-08,45.0,43.36666488647461,44.5,43.96666717529297,79296
2000-03-09,44.96666717529297,43.33333206176758,43.400001525878906,44.0,29226
2000-03-10,48.400001525878906,45.0,45.733333587646484,48.400001525878906,122628
2000-03-13,49.666664123535156,46.03333282470703,48.33333206176758,49.5,64389
2000-03-14,48.0,45.36666488647461,47.266666412353516,45.900001525878906,10602
2000-03-15,49.29999923706055,42.70000076293945,45.83333206176758,49.29999923706055,25719
2000-03-16,49.83333206176758,47.166664123535156,48.29999923706055,49.133331298828125,71094
2000-03-17,49.5,45.0,47.70000076293945,49.5,44847
2000-03-20,47.900001525878906,45.166664123535156,45.166664123535156,47.900001525878906,35628
