Date,High_APH,Low_APH,Open_APH,Close_APH,Volume_APH
2000-01-03,2.117187976837158,2.082031011581421,2.107422113418579,2.101562976837158,4201600
2000-01-04,2.091797113418579,2.023437976837158,2.089843988418579,2.029297113418579,3363200
2000-01-05,2.021483898162842,1.9394530057907104,2.021483898162842,1.984375,3644800
2000-01-06,1.9765629768371582,1.9238280057907104,1.9765629768371582,1.9296879768371582,1561600
2000-01-07,1.949218988418579,1.894531011581421,1.9375,1.949218988418579,3622400
2000-01-10,2.046875,1.953125,1.953125,2.041016101837158,1526400
2000-01-11,2.097656011581421,2.041016101837158,2.046875,2.089843988418579,2483200
2000-01-12,2.4375,2.117187976837158,2.117187976837158,2.378906011581421,26086400
2000-01-13,2.431641101837158,2.3125,2.386718988418579,2.347656011581421,5529600
2000-01-14,2.4375,2.34375,2.34375,2.396483898162842,2304000
2000-01-18,2.53125,2.449218988418579,2.462891101837158,2.460937976837158,5123200
2000-01-19,2.5,2.394531011581421,2.453125,2.4375,3836800
2000-01-20,2.527343988418579,2.421875,2.476562976837158,2.423827886581421,3126400
2000-01-21,2.4375,2.328125,2.423827886581421,2.330077886581421,2361600
2000-01-24,2.414062976837158,2.28125,2.337891101837158,2.3125,3001600
2000-01-25,2.3125,2.222656011581421,2.3125,2.248047113418579,1625600
2000-01-26,2.298827886581421,2.1875,2.248047113418579,2.28125,2688000
2000-01-27,2.326172113418579,2.240233898162842,2.289062976837158,2.248047113418579,2201600
2000-01-28,2.267577886581421,2.136718988418579,2.248047113418579,2.142577886581421,1104000
2000-01-31,2.171875,2.087891101837158,2.142577886581421,2.121093988418579,2688000
2000-02-01,2.130858898162842,2.089843988418579,2.121093988418579,2.107422113418579,1625600
2000-02-02,2.203125,2.107422113418579,2.107422113418579,2.152343988418579,1420800
2000-02-03,2.177733898162842,2.154297113418579,2.171875,2.162108898162842,1449600
2000-02-04,2.193358898162842,2.167968988418579,2.171875,2.193358898162842,924800
2000-02-07,2.189452886581421,2.148437976837158,2.171875,2.158202886581421,812800
2000-02-08,2.234375,2.179687976837158,2.179687976837158,2.179687976837158,2064000
2000-02-09,2.181641101837158,2.109375,2.181641101837158,2.115233898162842,1164800
2000-02-10,2.125,2.072266101837158,2.121093988418579,2.083983898162842,931200
2000-02-11,2.105468988418579,2.046875,2.085937976837158,2.070312976837158,1376000
2000-02-14,2.5625,2.060547113418579,2.070312976837158,2.560547113418579,24224000
2000-02-15,2.554687976837158,2.300781011581421,2.554687976837158,2.347656011581421,8166400
2000-02-16,2.449218988418579,2.349608898162842,2.349608898162842,2.4375,4921600
2000-02-17,2.417968988418579,2.347656011581421,2.410156011581421,2.369141101837158,2028800
2000-02-18,2.375,2.246093988418579,2.373047113418579,2.271483898162842,2131200
