Date,High_AF.PA,Low_AF.PA,Open_AF.PA,Close_AF.PA,Volume_AF.PA
2000-01-03,102.3321533203125,94.31302642822266,95.82606506347656,99.30606842041016,323270
2000-01-04,103.84519958496094,96.88520050048828,99.81041717529297,103.79476165771484,287471
2000-01-05,103.39128112792969,98.34780883789062,98.85215759277344,103.39128112792969,209141
2000-01-06,105.91302490234375,100.61737060546875,100.61737060546875,105.91302490234375,185816
2000-01-07,107.6278076171875,104.50084686279297,104.90432739257812,105.35823822021484,142092
2000-01-10,108.53562927246094,105.4591064453125,105.91302490234375,107.17388916015625,118138
2000-01-11,107.82954406738281,101.92867279052734,105.91302490234375,102.53388977050781,107079
2000-01-12,102.3825912475586,99.96172332763672,101.12171936035156,100.36519622802734,58266
2000-01-13,100.7686767578125,98.09563446044922,100.41563415527344,99.10432434082031,77643
2000-01-14,99.86084747314453,97.0869369506836,98.85215759277344,97.84346008300781,39788
2000-01-17,97.84346008300781,96.83476257324219,97.339111328125,97.84346008300781,37627
2000-01-18,97.84346008300781,94.56520080566406,97.339111328125,95.7251968383789,57013
2000-01-19,96.12867736816406,93.40519714355469,95.57389068603516,94.31302642822266,47863
2000-01-20,97.03650665283203,93.60694122314453,93.70780944824219,95.57389068603516,24543
2000-01-21,95.97737121582031,92.04345703125,95.82606506347656,92.04345703125,44963
2000-01-24,91.7912826538086,90.32867431640625,91.53910827636719,90.98432922363281,42480
2000-01-25,91.53910827636719,88.81563568115234,90.7825927734375,89.77389526367188,28179
2000-01-26,92.04345703125,89.57215881347656,90.27824401855469,92.04345703125,20399
2000-01-27,93.30432891845703,89.52172088623047,92.04345703125,93.30432891845703,16348
2000-01-28,93.30432891845703,90.7825927734375,92.24520111083984,91.53910827636719,23699
2000-01-31,91.53910827636719,89.82433319091797,91.0347671508789,91.28694152832031,21712
2000-02-01,95.82606506347656,90.07650756835938,90.07650756835938,95.57389068603516,25471
2000-02-02,95.57389068603516,94.212158203125,94.212158203125,94.56520080566406,40847
2000-02-03,94.06085205078125,90.27824401855469,92.24520111083984,91.33737182617188,47760
2000-02-04,90.7825927734375,88.00867462158203,90.07650756835938,88.00867462158203,42857
2000-02-07,86.99998474121094,83.46955108642578,86.74781036376953,84.73041534423828,69031
2000-02-08,84.73041534423828,83.21737670898438,84.73041534423828,83.72172546386719,50676
2000-02-09,84.67998504638672,81.19998168945312,83.82259368896484,81.19998168945312,48056
