Date,High_MELI,Low_MELI,Open_MELI,Close_MELI,Volume_MELI
2007-08-10,29.0,21.0,22.0,28.5,9800300
2007-08-13,39.66999816894531,29.0,31.200000762939453,31.649999618530273,3162100
2007-08-14,32.70000076293945,29.979999542236328,32.45000076293945,30.030000686645508,609300
2007-08-15,30.209999084472656,28.049999237060547,30.209999084472656,28.559999465942383,991800
2007-08-16,30.0,25.059999465942383,28.25,28.100000381469727,1107500
2007-08-17,33.63999938964844,30.0,30.31999969482422,32.849998474121094,438100
2007-08-20,33.5,29.5,32.900001525878906,30.469999313354492,235000
2007-08-21,30.290000915527344,27.760000228881836,29.709999084472656,29.020000457763672,180500
2007-08-22,30.829999923706055,29.149999618530273,29.149999618530273,29.56999969482422,77900
2007-08-23,30.889999389648438,28.899999618530273,30.889999389648438,30.0,244700
2007-08-24,30.25,28.520000457763672,29.15999984741211,30.0,144200
2007-08-27,30.25,28.510000228881836,29.3700008392334,29.399999618530273,173200
2007-08-28,29.799999237060547,28.5,29.299999237060547,28.899999618530273,292600
2007-08-29,30.719999313354492,28.760000228881836,29.520000457763672,29.329999923706055,113800
2007-08-30,29.75,28.549999237060547,29.75,28.75,259600
2007-08-31,29.149999618530273,28.0,29.149999618530273,28.1200008392334,69100
2007-09-04,29.0,27.280000686645508,28.010000228881836,28.0,135500
2007-09-05,28.90999984741211,27.0,27.3799991607666,28.510000228881836,198800
2007-09-06,32.25,28.760000228881836,28.860000610351562,29.93000030517578,179300
2007-09-07,31.700000762939453,29.25,30.68000030517578,29.5,74900
2007-09-10,30.65999984741211,29.06999969482422,29.75,29.299999237060547,118000
2007-09-11,29.75,28.829999923706055,29.670000076293945,29.079999923706055,106100
2007-09-12,29.760000228881836,28.280000686645508,28.8700008392334,29.170000076293945,76500
2007-09-13,29.440000534057617,28.940000534057617,29.200000762939453,29.0,22700
2007-09-14,29.760000228881836,28.040000915527344,28.610000610351562,28.5,117200
2007-09-17,28.40999984741211,27.610000610351562,28.25,27.75,71900
2007-09-18,29.15999984741211,27.469999313354492,27.75,28.0,167800
2007-09-19,33.7400016784668,30.049999237060547,30.100000381469727,33.279998779296875,697200
2007-09-20,38.349998474121094,32.9900016784668,33.4900016784668,37.060001373291016,505100
2007-09-21,40.66999816894531,35.630001068115234,36.52000045776367,40.52000045776367,324000
2007-09-24,41.29999923706055,38.2599983215332,38.27000045776367,41.060001373291016,312300
2007-09-25,39.9900016784668,37.06999969482422,38.720001220703125,38.20000076293945,262100
2007-09-26,38.119998931884766,36.5,38.0,38.08000183105469,326700
2007-09-27,39.91999816894531,35.7599983215332,38.5,36.91999816894531,380400
2007-09-28,38.0,35.369998931884766,36.22999954223633,36.2599983215332,1571400
2007-10-01,39.2400016784668,35.560001373291016,36.630001068115234,36.709999084472656,227700
2007-10-02,40.0,37.2400016784668,37.630001068115234,39.400001525878906,304200
2007-10-03,42.790000915527344,38.56999969482422,39.15999984741211,42.119998931884766,383000
2007-10-04,43.75,40.20000076293945,42.709999084472656,41.27000045776367,216700
2007-10-05,43.220001220703125,40.0,42.25,41.11000061035156,745200
2007-10-08,41.34000015258789,39.36000061035156,40.86000061035156,41.02000045776367,102600
2007-10-09,45.43000030517578,40.65999984741211,40.970001220703125,45.380001068115234,405200
2007-10-10,45.56999969482422,43.900001525878906,45.56999969482422,44.939998626708984,234300
2007-10-11,45.4900016784668,40.400001525878906,45.119998931884766,41.209999084472656,331000
2007-10-12,42.63999938964844,40.099998474121094,41.0,40.459999084472656,178300
2007-10-15,42.13999938964844,37.0,41.349998474121094,38.439998626708984,234200
2007-10-16,38.650001525878906,35.459999084472656,38.04999923706055,36.93000030517578,237500
2007-10-17,39.5,37.189998626708984,37.81999969482422,38.58000183105469,203600
2007-10-18,41.0,37.22999954223633,38.209999084472656,39.84000015258789,188800
2007-10-19,40.349998474121094,37.29999923706055,39.79999923706055,37.29999923706055,88100
2007-10-22,39.68000030517578,36.47999954223633,37.25,38.63999938964844,157500
2007-10-23,44.119998931884766,39.56999969482422,39.56999969482422,42.83000183105469,336100
2007-10-24,42.38999938964844,37.470001220703125,42.22999954223633,39.380001068115234,358400
2007-10-25,40.349998474121094,38.36000061035156,39.349998474121094,40.029998779296875,108800
2007-10-26,43.349998474121094,39.65999984741211,40.11000061035156,43.06999969482422,232600
2007-10-29,45.91999816894531,42.380001068115234,43.15999984741211,44.59000015258789,341600
2007-10-30,48.15999984741211,44.599998474121094,44.599998474121094,45.86000061035156,405400
2007-10-31,46.18000030517578,41.13999938964844,46.18000030517578,44.68000030517578,336200
2007-11-01,44.400001525878906,40.5,44.209999084472656,41.36000061035156,287100
2007-11-02,45.0,40.5,42.029998779296875,44.34000015258789,246100
2007-11-05,44.939998626708984,42.279998779296875,43.20000076293945,43.529998779296875,138500
