Date,High_CME,Low_CME,Open_CME,Close_CME,Volume_CME
2002-12-06,8.640000343322754,7.78000020980835,7.800000190734863,8.579999923706055,27551000
2002-12-09,8.5600004196167,8.227999687194824,8.539999961853027,8.404000282287598,3149500
2002-12-10,8.65999984741211,8.329999923706055,8.40999984741211,8.550000190734863,1723000
2002-12-11,9.100000381469727,8.460000038146973,8.539999961853027,9.01200008392334,2549000
2002-12-12,9.01200008392334,8.720000267028809,9.01200008392334,8.781999588012695,1355500
2002-12-13,8.793999671936035,8.649999618530273,8.781999588012695,8.729999542236328,987500
2002-12-16,8.75,8.59000015258789,8.699999809265137,8.619999885559082,798000
2002-12-17,8.800000190734863,8.5600004196167,8.600000381469727,8.654000282287598,1646000
2002-12-18,8.640000343322754,8.510000228881836,8.640000343322754,8.534000396728516,742000
2002-12-19,8.539999961853027,8.434000015258789,8.510000228881836,8.460000038146973,684000
2002-12-20,8.920000076293945,8.399999618530273,8.479999542236328,8.890000343322754,904500
2002-12-23,8.90999984741211,8.670000076293945,8.869999885559082,8.680000305175781,638500
2002-12-24,8.720000267028809,8.592000007629395,8.720000267028809,8.609999656677246,218000
2002-12-26,8.630000114440918,8.510000228881836,8.619999885559082,8.520000457763672,325000
2002-12-27,8.5,8.350000381469727,8.5,8.399999618530273,830500
2002-12-30,8.569999694824219,8.420000076293945,8.460000038146973,8.46399974822998,1076500
2002-12-31,8.760000228881836,8.454000473022461,8.454000473022461,8.732000350952148,1778000
2003-01-02,8.789999961853027,8.6899995803833,8.732000350952148,8.744000434875488,315000
2003-01-03,9.15999984741211,8.704000473022461,8.744000434875488,9.15999984741211,861500
2003-01-06,9.670000076293945,9.005999565124512,9.005999565124512,9.619999885559082,1874500
2003-01-07,9.720000267028809,9.449999809265137,9.600000381469727,9.604000091552734,1383000
2003-01-08,9.654000282287598,9.534000396728516,9.605999946594238,9.60200023651123,411000
2003-01-09,9.84000015258789,9.531999588012695,9.619999885559082,9.8100004196167,649000
2003-01-10,9.869999885559082,9.741999626159668,9.770000457763672,9.79800033569336,844000
2003-01-13,9.935999870300293,9.77400016784668,9.800000190734863,9.923999786376953,810000
2003-01-14,10.0,9.814000129699707,9.923999786376953,9.819999694824219,554000
2003-01-15,9.680000305175781,9.35200023651123,9.680000305175781,9.40999984741211,1459000
2003-01-16,9.399999618530273,9.053999900817871,9.399999618530273,9.076000213623047,725000
2003-01-17,9.104000091552734,8.960000038146973,9.050000190734863,9.003999710083008,590500
2003-01-21,9.039999961853027,8.85200023651123,9.010000228881836,8.890000343322754,468000
2003-01-22,8.880000114440918,8.819999694824219,8.859999656677246,8.829999923706055,163500
2003-01-23,9.149999618530273,8.826000213623047,8.84000015258789,9.086000442504883,476000
2003-01-24,9.420000076293945,9.0,9.069999694824219,9.39799976348877,685000
2003-01-27,9.380000114440918,9.239999771118164,9.357999801635742,9.25,209000
2003-01-28,9.315999984741211,9.199999809265137,9.260000228881836,9.20199966430664,364500
2003-01-29,9.399999618530273,9.152000427246094,9.180000305175781,9.300000190734863,401500
2003-01-30,9.317999839782715,8.760000228881836,9.300000190734863,8.84000015258789,735000
2003-01-31,8.8100004196167,8.402000427246094,8.800000190734863,8.5,2886000
2003-02-03,8.579999923706055,8.432000160217285,8.489999771118164,8.470000267028809,780000
2003-02-04,8.4399995803833,8.3100004196167,8.4399995803833,8.399999618530273,740000
2003-02-05,8.399999618530273,8.270000457763672,8.390000343322754,8.347999572753906,1159000
2003-02-06,8.404000282287598,8.289999961853027,8.34000015258789,8.300000190734863,1077500
2003-02-07,8.430000305175781,8.3100004196167,8.319999694824219,8.42199993133545,744500
2003-02-10,8.680000305175781,8.40999984741211,8.42199993133545,8.600000381469727,278500
2003-02-11,8.706000328063965,8.579999923706055,8.600000381469727,8.581999778747559,222500
2003-02-12,8.59000015258789,8.496000289916992,8.550000190734863,8.581999778747559,355500
2003-02-13,8.744000434875488,8.564000129699707,8.569999694824219,8.699999809265137,265500
2003-02-14,8.960000038146973,8.739999771118164,8.739999771118164,8.899999618530273,958000
2003-02-18,8.960000038146973,8.829999923706055,8.949999809265137,8.904000282287598,753500
2003-02-19,9.0,8.880000114440918,8.906000137329102,8.954000473022461,420500
2003-02-20,9.020000457763672,8.9399995803833,8.960000038146973,9.005999565124512,159000
2003-02-21,9.131999969482422,9.0,9.008000373840332,9.071999549865723,206000
2003-02-24,9.15999984741211,9.0,9.0,9.107999801635742,182500
2003-02-25,9.15999984741211,9.069999694824219,9.100000381469727,9.144000053405762,144500
2003-02-26,9.199999809265137,9.020000457763672,9.14799976348877,9.067999839782715,214000
2003-02-27,9.050000190734863,8.65999984741211,9.04800033569336,8.65999984741211,945000
2003-02-28,8.760000228881836,8.574000358581543,8.649999618530273,8.609999656677246,565000
2003-03-03,8.711999893188477,8.600000381469727,8.612000465393066,8.62600040435791,211000
2003-03-04,8.64799976348877,8.564000129699707,8.619999885559082,8.564000129699707,151000
2003-03-05,8.592000007629395,8.4399995803833,8.565999984741211,8.449999809265137,269500
2003-03-06,8.529999732971191,8.42199993133545,8.42199993133545,8.468000411987305,352500
2003-03-07,8.54800033569336,8.442000389099121,8.470000267028809,8.465999603271484,175500
2003-03-10,8.531999588012695,8.454000473022461,8.456000328063965,8.472000122070312,163000
2003-03-11,8.539999961853027,8.434000015258789,8.473999977111816,8.454000473022461,104500
2003-03-12,8.510000228881836,8.380000114440918,8.479999542236328,8.47599983215332,312000
2003-03-13,8.539999961853027,8.482000350952148,8.5,8.503999710083008,204000
2003-03-14,8.680000305175781,8.5,8.5,8.640000343322754,471500
2003-03-17,9.23799991607666,8.640000343322754,8.640000343322754,9.1899995803833,607000
2003-03-18,9.366000175476074,9.140000343322754,9.194000244140625,9.210000038146973,478500
2003-03-19,9.390000343322754,9.220000267028809,9.220000267028809,9.390000343322754,149500
2003-03-20,9.392000198364258,9.109999656677246,9.392000198364258,9.109999656677246,571000
2003-03-21,9.425999641418457,9.140000343322754,9.140000343322754,9.420000076293945,632500
2003-03-24,9.642000198364258,9.345999717712402,9.399999618530273,9.600000381469727,1112000
2003-03-25,9.710000038146973,9.59000015258789,9.59000015258789,9.685999870300293,545500
2003-03-26,9.781999588012695,9.680000305175781,9.680000305175781,9.699999809265137,1076000
2003-03-27,9.779999732971191,9.5600004196167,9.680000305175781,9.779999732971191,777500
2003-03-28,9.760000228881836,9.680000305175781,9.760000228881836,9.729999542236328,306500
2003-03-31,9.710000038146973,9.552000045776367,9.710000038146973,9.630000114440918,435000
2003-04-01,9.637999534606934,9.515999794006348,9.631999969482422,9.593999862670898,232000
2003-04-02,9.65999984741211,9.446000099182129,9.473999977111816,9.631999969482422,536000
2003-04-03,9.84000015258789,9.640000343322754,9.640000343322754,9.656000137329102,633000
2003-04-04,9.760000228881836,9.652000427246094,9.670000076293945,9.680000305175781,321500
2003-04-07,9.770000457763672,9.333999633789062,9.739999771118164,9.34000015258789,1109500
2003-04-08,9.354000091552734,9.229999542236328,9.319999694824219,9.291999816894531,398000
2003-04-09,9.380000114440918,9.25,9.3100004196167,9.350000381469727,390000
2003-04-10,9.430000305175781,9.3100004196167,9.359999656677246,9.423999786376953,224500
2003-04-11,9.4399995803833,9.326000213623047,9.4399995803833,9.354000091552734,178500
2003-04-14,9.520000457763672,9.34000015258789,9.354000091552734,9.501999855041504,212500
2003-04-15,9.534000396728516,9.486000061035156,9.494000434875488,9.5,198500
