Date,High_UBI,Low_UBI,Open_UBI,Close_UBI,Volume_UBI
2015-01-05,18.229999542236328,18.229999542236328,18.229999542236328,18.229999542236328,165
2015-01-06,18.5,18.5,18.5,18.5,165
2015-01-07,18.5,18.5,18.5,18.5,0
2015-01-08,18.5,18.5,18.5,18.5,0
2015-01-09,18.5,18.5,18.5,18.5,0
2015-01-12,18.5,18.5,18.5,18.5,0
2015-01-13,18.5,18.5,18.5,18.5,0
2015-01-14,18.5,18.5,18.5,18.5,0
2015-01-15,18.5,18.5,18.5,18.5,0
2015-01-16,18.5,18.5,18.5,18.5,0
2015-01-29,18.5,18.5,18.5,18.5,0
2015-01-30,18.25,18.25,18.25,18.25,1000
2015-02-02,18.25,18.25,18.25,18.25,0
2015-02-03,18.25,18.25,18.25,18.25,0
2015-02-04,18.25,18.25,18.25,18.25,0
2015-02-05,18.25,18.25,18.25,18.25,0
2015-02-06,18.25,18.25,18.25,18.25,0
2015-02-09,18.25,18.25,18.25,18.25,0
2015-02-10,18.25,18.25,18.25,18.25,0
2015-02-11,18.25,18.25,18.25,18.25,0
2015-02-12,18.25,18.25,18.25,18.25,0
2015-02-13,18.25,18.25,18.25,18.25,0
2015-02-17,18.25,18.25,18.25,18.25,0
2015-02-18,18.25,18.25,18.25,18.25,0
2015-02-19,18.25,18.25,18.25,18.25,0
2015-02-20,18.25,18.25,18.25,18.25,0
2015-02-23,18.25,18.25,18.25,18.25,0
2015-02-24,18.25,18.25,18.25,18.25,0
2015-02-25,18.25,18.25,18.25,18.25,0
2015-02-26,18.25,18.25,18.25,18.25,0
2015-02-27,18.25,18.25,18.25,18.25,0
2015-03-02,18.25,18.25,18.25,18.25,0
2015-03-03,18.25,18.25,18.25,18.25,0
2015-03-04,18.25,18.25,18.25,18.25,0
2015-03-05,18.25,18.25,18.25,18.25,0
2015-03-06,18.25,18.25,18.25,18.25,0
2015-03-09,18.25,18.25,18.25,18.25,0
2015-03-10,18.25,18.25,18.25,18.25,0
2015-03-11,18.25,18.25,18.25,18.25,0
2015-03-12,18.25,18.25,18.25,18.25,0
2015-03-13,18.25,18.25,18.25,18.25,0
2015-03-16,18.25,18.25,18.25,18.25,0
2015-03-17,18.25,18.25,18.25,18.25,0
2015-03-18,18.25,18.25,18.25,18.25,0
2015-03-19,18.25,18.25,18.25,18.25,0
2015-03-20,18.25,18.25,18.25,18.25,0
2015-03-23,18.25,18.25,18.25,18.25,0
