Date,High_PH,Low_PH,Open_PH,Close_PH,Volume_PH
2000-01-03,34.20833206176758,32.33333206176758,34.20833206176758,32.54166793823242,593400
2000-01-04,32.83333206176758,31.25,32.54166793823242,31.25,217650
2000-01-05,31.833332061767578,31.083332061767578,31.416667938232422,31.25,420900
2000-01-06,31.833332061767578,30.75,31.333332061767578,31.833332061767578,1203450
2000-01-07,36.0,34.5,34.66666793823242,34.75,2630100
2000-01-10,35.625,33.83333206176758,34.75,34.33333206176758,774900
2000-01-11,34.54166793823242,33.33333206176758,34.16666793823242,33.45833206176758,523500
2000-01-12,34.125,33.58333206176758,33.625,33.91666793823242,1078950
2000-01-13,33.95833206176758,33.20833206176758,33.95833206176758,33.5,551550
2000-01-14,33.58333206176758,32.41666793823242,33.58333206176758,33.08333206176758,741150
2000-01-18,32.79166793823242,30.375,32.66666793823242,31.125,1312800
2000-01-19,31.916667938232422,30.5,30.666667938232422,31.916667938232422,899250
2000-01-20,32.66666793823242,31.541667938232422,32.66666793823242,31.708332061767578,862800
2000-01-21,32.0,30.666667938232422,31.708332061767578,31.166667938232422,755250
2000-01-24,31.208332061767578,29.416667938232422,31.208332061767578,29.541667938232422,783900
2000-01-25,29.666667938232422,28.5,29.583332061767578,28.75,556050
2000-01-26,29.75,27.875,28.875,29.375,1097700
2000-01-27,30.0,29.0,29.333332061767578,29.25,442500
2000-01-28,29.083332061767578,28.0,29.083332061767578,28.125,567150
2000-01-31,29.083332061767578,27.791667938232422,28.083332061767578,28.833332061767578,387900
2000-02-01,29.625,28.75,28.75,29.416667938232422,705450
2000-02-02,29.833332061767578,28.5,29.416667938232422,28.708332061767578,306150
2000-02-03,29.041667938232422,27.916667938232422,28.791667938232422,28.375,320400
2000-02-04,28.666667938232422,27.625,28.541667938232422,27.958332061767578,404400
2000-02-07,28.291667938232422,26.833332061767578,28.0,27.291667938232422,653250
2000-02-08,28.166667938232422,27.291667938232422,27.291667938232422,27.291667938232422,587700
2000-02-09,27.458332061767578,25.458332061767578,27.416667938232422,25.791667938232422,1052100
2000-02-10,26.166667938232422,25.083332061767578,26.125,25.208332061767578,828600
2000-02-11,25.208332061767578,23.583332061767578,25.208332061767578,23.666667938232422,843300
2000-02-14,25.875,23.75,23.833332061767578,25.458332061767578,763650
2000-02-15,27.958332061767578,25.625,25.625,27.791667938232422,1480050
2000-02-16,28.916667938232422,27.666667938232422,27.666667938232422,27.958332061767578,1201050
2000-02-17,28.125,26.666667938232422,28.125,27.0,483900
2000-02-18,28.291667938232422,27.375,27.5,27.458332061767578,796950
2000-02-22,27.75,27.0,27.0,27.541667938232422,776550
2000-02-23,27.583332061767578,27.083332061767578,27.541667938232422,27.5,603900
2000-02-24,26.833332061767578,24.666667938232422,26.833332061767578,24.958332061767578,771900
2000-02-25,25.5,22.75,25.125,22.875,1359900
2000-02-28,23.666667938232422,22.75,23.166667938232422,23.291667938232422,2224050
2000-02-29,24.5,23.0,23.291667938232422,24.166667938232422,1242750
2000-03-01,24.875,23.875,23.916667938232422,24.708332061767578,785700
2000-03-02,24.791667938232422,23.0,24.791667938232422,23.791667938232422,760050
2000-03-03,25.166667938232422,23.583332061767578,23.791667938232422,23.958332061767578,803700
2000-03-06,24.583332061767578,23.3125,24.583332061767578,23.625,533100
2000-03-07,23.5,22.708332061767578,23.5,22.708332061767578,629850
2000-03-08,23.5,22.75,22.875,23.5,493800
2000-03-09,24.166667938232422,23.625,23.666667938232422,24.0,708600
2000-03-10,24.125,23.583332061767578,23.916667938232422,23.666667938232422,440700
2000-03-13,23.541667938232422,23.041667938232422,23.083332061767578,23.333332061767578,484800
2000-03-14,23.5,22.625,23.5,22.625,292500
2000-03-15,24.916667938232422,22.625,22.666667938232422,24.333332061767578,1545300
2000-03-16,27.083332061767578,24.375,24.375,26.833332061767578,803550
2000-03-17,26.333332061767578,24.708332061767578,25.666667938232422,25.333332061767578,1132800
2000-03-20,26.333332061767578,25.333332061767578,25.333332061767578,26.166667938232422,479850
2000-03-21,26.25,25.333332061767578,26.083332061767578,25.708332061767578,417450
2000-03-22,25.708332061767578,24.708332061767578,25.708332061767578,24.916667938232422,560100
2000-03-23,25.75,24.583332061767578,24.833332061767578,25.708332061767578,553800
2000-03-24,26.25,25.666667938232422,25.833332061767578,26.083332061767578,497550
2000-03-27,26.291667938232422,25.083332061767578,26.083332061767578,25.333332061767578,218850
