Date,High_LMT,Low_LMT,Open_LMT,Close_LMT,Volume_LMT
2000-01-03,22.3125,20.25,22.0,20.25,3011300
2000-01-04,21.3125,20.0,20.0,20.9375,3593500
2000-01-05,21.625,20.5,21.25,21.0625,1721200
2000-01-06,21.75,21.0,21.0,21.375,1750700
2000-01-07,22.0625,21.1875,21.75,21.4375,2203200
2000-01-10,21.5,20.5625,21.375,20.625,1361000
2000-01-11,20.75,19.75,20.5,19.9375,2236100
2000-01-12,21.25,20.0,20.0,21.1875,3562400
2000-01-13,21.4375,20.5625,21.4375,20.75,2871700
2000-01-14,20.9375,20.5,20.75,20.5,1609300
2000-01-18,21.25,19.75,21.0,20.0,3763800
2000-01-19,20.75,20.0,20.0625,20.6875,2270500
2000-01-20,20.6875,20.375,20.5,20.5625,2321600
2000-01-21,21.1875,20.625,20.75,21.0,2340600
2000-01-24,21.0625,19.5625,20.9375,19.5625,1917000
2000-01-25,19.9375,19.125,19.5625,19.25,2022500
2000-01-26,20.0625,19.25,19.4375,20.0625,2020300
2000-01-27,20.0,19.0,19.9375,19.4375,2236300
2000-01-28,19.9375,18.3125,19.0,18.875,2213200
2000-01-31,18.875,18.1875,18.3125,18.5,1528600
2000-02-01,18.875,18.375,18.75,18.6875,737300
2000-02-02,18.8125,18.1875,18.4375,18.6875,1633700
2000-02-03,18.9375,18.5,18.625,18.625,1830200
2000-02-04,19.3125,18.375,18.75,19.125,2012900
2000-02-07,19.5,18.25,19.25,18.75,1633700
2000-02-08,18.375,17.875,18.3125,18.375,2110300
2000-02-09,18.5,17.875,17.875,18.375,1863800
2000-02-10,18.5,18.0625,18.0625,18.3125,1814500
2000-02-11,18.3125,17.375,18.125,17.5,1821000
2000-02-14,18.125,17.5,17.75,18.0625,1839400
2000-02-15,18.1875,17.8125,18.0,18.125,1273200
2000-02-16,18.0625,17.5,17.5,17.75,1630600
2000-02-17,18.25,17.8125,17.9375,18.0,4412100
2000-02-18,17.875,17.0,17.75,17.4375,1651200
2000-02-22,18.0,17.0625,17.0625,18.0,1411100
2000-02-23,17.9375,17.5,17.9375,17.8125,1358100
2000-02-24,17.6875,17.1875,17.625,17.5625,1248100
2000-02-25,17.9375,17.5625,17.625,17.75,1691300
2000-02-28,17.625,17.125,17.5625,17.5,1022400
2000-02-29,17.875,17.125,17.4375,17.4375,1285400
2000-03-01,17.6875,17.375,17.4375,17.6875,1331700
2000-03-02,17.5625,17.0,17.5,17.125,1398200
2000-03-03,17.1875,16.875,17.0625,17.0,1733200
2000-03-06,18.25,17.75,17.75,18.0,3775600
2000-03-07,18.0,17.3125,18.0,17.3125,1289900
2000-03-08,17.625,17.25,17.25,17.625,2051400
2000-03-09,17.5,17.0,17.5,17.125,1706700
2000-03-10,17.125,16.6875,17.125,16.8125,2631700
2000-03-13,17.0,16.625,16.8125,16.9375,1434800
2000-03-14,17.0,16.5,17.0,16.625,1853600
2000-03-15,17.1875,16.5,16.625,17.125,4062700
2000-03-16,18.25,17.0,17.1875,18.0625,3771400
2000-03-17,18.75,17.625,18.0625,18.0,6524300
2000-03-20,18.0,17.625,18.0,17.765625,1103600
2000-03-21,17.625,17.0625,17.25,17.3125,1439200
2000-03-22,17.3125,16.9375,17.25,17.125,1424500
2000-03-23,17.375,16.9375,17.0625,17.0625,918700
2000-03-24,17.75,17.0625,17.0625,17.5,2166100
2000-03-27,17.875,17.25,17.5,17.8125,1698000
2000-03-28,19.1875,18.0625,18.25,18.75,3675900
2000-03-29,19.25,18.3125,18.5625,19.25,3296200
2000-03-30,21.25,19.5,19.75,20.875,4674400
2000-03-31,21.0625,19.6875,21.0625,20.4375,2365800
2000-04-03,20.875,20.0625,20.0625,20.4375,1050100
2000-04-04,21.6875,20.125,21.0,20.3125,2551700
2000-04-05,21.625,20.3125,20.3125,20.9375,1390500
2000-04-06,22.0625,20.625,21.75,21.1875,2202200
2000-04-07,21.5,20.6875,21.3125,21.0625,1330000
2000-04-10,21.1875,20.3125,20.5,21.125,1263400
2000-04-11,21.1875,20.875,20.9375,20.875,1365200
2000-04-12,22.1875,20.9375,20.9375,22.0625,2865000
2000-04-13,22.0,21.0625,21.375,21.625,3730500
2000-04-14,21.25,20.375,21.1875,20.6875,2415400
2000-04-17,21.3125,19.8125,20.625,21.3125,2157200
2000-04-18,21.125,20.625,21.125,21.0,1432900
2000-04-19,21.25,20.8125,20.9375,20.875,1112900
2000-04-20,22.875,21.5625,21.75,22.6875,2877000
2000-04-24,25.9375,22.3125,22.375,25.875,5205300
2000-04-25,26.4375,24.5,25.875,25.5625,5013300
2000-04-26,24.875,23.8125,24.75,24.125,3442200
2000-04-27,24.4375,23.375,24.0,23.875,1761100
2000-04-28,26.0625,24.0,24.0,24.875,3415700
2000-05-01,27.3125,24.125,24.25,27.0,2702000
2000-05-02,26.6875,26.0,26.25,26.0625,2304900
2000-05-03,26.3125,25.375,25.8125,25.5625,1438500
2000-05-04,27.125,25.5,25.5625,26.3125,1659000
2000-05-05,26.1875,25.625,25.75,26.1875,1751900
2000-05-08,26.25,25.75,26.0,26.0625,1038600
2000-05-09,26.25,25.75,25.8125,26.0,765900
2000-05-10,26.25,25.75,25.8125,26.0625,1188300
2000-05-11,26.4375,25.9375,26.0,26.1875,846200
2000-05-12,26.125,25.5625,25.625,25.8125,814300
2000-05-15,25.9375,25.375,25.6875,25.625,682000
2000-05-16,25.375,24.6875,24.75,25.1875,1051600
2000-05-17,25.375,24.5,24.9375,24.5625,2000700
2000-05-18,25.1875,24.4375,24.4375,24.875,2073900
2000-05-19,24.5625,23.625,24.125,24.3125,1286300
2000-05-22,24.6875,23.25,24.375,23.5625,1283800
2000-05-23,25.3125,23.625,24.25,25.125,1109300
2000-05-24,25.3125,24.5,25.0,25.0625,2029800
2000-05-25,25.0625,24.0625,24.8125,24.3125,822600
2000-05-26,24.75,23.875,24.5625,24.0625,501000
2000-05-30,25.0,24.1875,24.3125,24.75,1195400
2000-05-31,24.9375,23.8125,24.875,24.6875,947700
2000-06-01,25.0625,24.1875,24.375,25.0625,876900
2000-06-02,26.0625,25.3125,25.3125,25.9375,1608900
2000-06-05,25.9375,25.5,25.9375,25.875,1070800
2000-06-06,26.25,25.6875,26.0,25.9375,937000
2000-06-07,25.9375,24.875,25.9375,25.375,514400
2000-06-08,25.5,24.25,24.875,24.75,1071100
2000-06-09,25.4375,24.8125,24.875,25.3125,891100
2000-06-12,25.9375,25.3125,25.4375,25.5625,744500
2000-06-13,25.375,24.8125,25.3125,25.25,479200
2000-06-14,25.5,24.625,25.375,24.6875,668000
2000-06-15,25.3125,24.875,25.125,25.0,1635700
2000-06-16,25.0,24.3125,25.0,24.3125,878600
2000-06-19,24.6875,23.9375,24.4375,24.6875,731600
2000-06-20,24.6875,23.75,24.6875,24.5,812000
2000-06-21,24.875,24.0,24.4375,24.0,475900
2000-06-22,24.1875,22.8125,24.1875,23.6875,318500
2000-06-23,24.4375,23.6875,23.875,24.1875,1210100
2000-06-26,25.1875,23.8125,23.9375,24.8125,1024200
2000-06-27,25.0625,24.25,24.9375,24.3125,1267100
2000-06-28,23.6875,22.4375,23.5,23.6875,2307000
2000-06-29,25.0,22.75,23.0625,25.0,2140000
2000-06-30,25.125,24.125,24.5,24.8125,1432400
2000-07-03,24.625,24.0625,24.625,24.3125,691800
2000-07-05,25.375,24.1875,24.1875,25.0,1005500
2000-07-06,25.5,24.5,24.5,25.25,982000
2000-07-07,25.375,24.8125,25.125,25.3125,744700
2000-07-10,25.4375,25.0,25.3125,25.1875,612000
2000-07-11,25.0625,24.5625,24.9375,24.75,620000
2000-07-12,25.1875,24.1875,24.1875,25.0625,521500
2000-07-13,26.0625,25.0,25.0625,25.0,836100
2000-07-14,26.5625,25.8125,25.875,26.375,1902000
2000-07-17,26.5,25.25,26.5,25.375,1216800
2000-07-18,25.5,24.9375,25.5,25.3125,1261200
2000-07-19,25.4375,24.875,25.25,25.375,900000
2000-07-20,27.0625,25.5,25.6875,26.75,1874000
2000-07-21,26.6875,26.1875,26.5,26.3125,1237100
2000-07-24,26.9375,26.375,26.375,26.5625,1501800
2000-07-25,27.8125,26.625,26.75,27.1875,1639700
2000-07-26,27.75,26.6875,27.3125,27.5,1401900
