Date,High_KVUE,Low_KVUE,Open_KVUE,Close_KVUE,Volume_KVUE
2023-05-04,26.979999542236328,25.25,25.530000686645508,26.899999618530273,77004200
2023-05-05,27.030000686645508,26.209999084472656,26.65999984741211,26.5,11289900
2023-05-08,26.850000381469727,25.90999984741211,26.329999923706055,26.510000228881836,6308300
2023-05-09,26.84000015258789,26.06999969482422,26.510000228881836,26.280000686645508,4684000
2023-05-10,26.770000457763672,26.010000228881836,26.280000686645508,26.25,9602400
2023-05-11,26.329999923706055,26.0,26.030000686645508,26.0,5687300
2023-05-12,26.6200008392334,25.899999618530273,26.020000457763672,26.5,5433500
2023-05-15,27.795000076293945,26.5,26.5,27.5,7083200
2023-05-16,27.770000457763672,26.989999771118164,27.540000915527344,27.030000686645508,3818400
2023-05-17,27.700000762939453,26.600000381469727,27.299999237060547,27.219999313354492,3392200
2023-05-18,27.350000381469727,26.700000762939453,27.219999313354492,27.040000915527344,2648100
2023-05-19,27.259000778198242,26.690000534057617,27.040000915527344,27.229999542236328,1794300
2023-05-22,27.43000030517578,25.959999084472656,27.329999923706055,26.06999969482422,7509400
2023-05-23,26.260000228881836,25.809999465942383,26.010000228881836,26.0,2485000
2023-05-24,26.549999237060547,25.860000610351562,26.010000228881836,26.450000762939453,1953600
2023-05-25,26.639999389648438,25.899999618530273,26.5,26.329999923706055,2139400
2023-05-26,26.43000030517578,26.200000762939453,26.43000030517578,26.299999237060547,844100
2023-05-30,26.5,25.1299991607666,26.280000686645508,25.729999542236328,6340200
2023-05-31,25.6200008392334,24.989999771118164,25.6200008392334,25.09000015258789,6347800
2023-06-01,25.639999389648438,24.75,25.299999237060547,25.280000686645508,6072700
2023-06-02,25.700000762939453,24.969999313354492,25.260000228881836,25.549999237060547,2329400
2023-06-05,25.770000457763672,24.829999923706055,25.579999923706055,25.149999618530273,4737300
2023-06-06,25.389999389648438,24.899999618530273,25.0,25.170000076293945,1315000
2023-06-07,25.2549991607666,24.90999984741211,25.100000381469727,25.079999923706055,1626600
2023-06-08,25.15999984741211,24.809999465942383,24.989999771118164,25.110000610351562,2711800
2023-06-09,25.15999984741211,24.850000381469727,25.049999237060547,25.100000381469727,1874000
2023-06-12,25.200000762939453,24.75,25.010000228881836,25.020000457763672,2619800
2023-06-13,25.219999313354492,24.959999084472656,24.989999771118164,25.1299991607666,2039800
2023-06-14,25.489999771118164,25.1200008392334,25.1299991607666,25.34000015258789,2412000
2023-06-15,25.950000762939453,25.18000030517578,25.399999618530273,25.75,1442900
2023-06-16,26.260000228881836,25.700000762939453,25.850000381469727,26.25,2333000
2023-06-20,26.3799991607666,25.940000534057617,25.950000762939453,26.059999465942383,1487500
2023-06-21,26.700000762939453,25.770000457763672,26.190000534057617,26.200000762939453,3605900
2023-06-22,26.600000381469727,26.198999404907227,26.200000762939453,26.549999237060547,1130700
2023-06-23,26.739999771118164,26.270000457763672,26.549999237060547,26.479999542236328,2793400
