Date,High_BIM,Low_BIM,Open_BIM,Close_BIM,Volume_BIM
2011-04-07,9150.0,9150.0,9150.0,9150.0,0
2011-05-09,6.659999847412109,5.559999942779541,5.559999942779541,6.659999847412109,525541
2011-05-10,9.550000190734863,6.659999847412109,7.980000019073486,8.989999771118164,389757
2011-05-11,8.869999885559082,7.099999904632568,8.869999885559082,7.989999771118164,143808
2011-05-12,7.5,6.289999961853027,7.5,6.289999961853027,15757
2011-05-13,6.480000019073486,5.039999961853027,6.28000020980835,5.789999961853027,10578
2011-05-16,5.800000190734863,3.7100000381469727,5.789999961853027,3.75,42996
2011-05-17,4.340000152587891,3.6500000953674316,4.039999961853027,4.150000095367432,9413
2011-05-18,4.349999904632568,3.6600000858306885,4.150000095367432,4.099999904632568,2181
2011-05-19,4.139999866485596,3.5,4.099999904632568,4.139999866485596,7038
2011-05-20,4.139999866485596,3.75,4.139999866485596,4.130000114440918,901
2011-05-23,4.510000228881836,3.799999952316284,4.130000114440918,4.510000228881836,12155
2011-05-24,4.75,4.0,4.610000133514404,4.590000152587891,1874
2011-05-25,4.590000152587891,3.9000000953674316,4.590000152587891,4.0,1649
2011-05-26,4.0,3.950000047683716,3.950000047683716,4.0,350
2011-05-27,4.0,3.4000000953674316,4.0,3.509999990463257,2286
2011-05-31,3.430000066757202,3.390000104904175,3.4000000953674316,3.390000104904175,250
2011-06-01,3.5999999046325684,3.3399999141693115,3.390000104904175,3.569999933242798,2474
2011-06-02,3.549999952316284,3.319999933242798,3.549999952316284,3.3299999237060547,2045
2011-06-03,3.4800000190734863,3.0799999237060547,3.4000000953674316,3.2300000190734863,4404
2011-06-06,3.2300000190734863,3.2300000190734863,3.2300000190734863,3.2300000190734863,35
2011-06-07,3.4800000190734863,3.109999895095825,3.109999895095825,3.4800000190734863,945
2011-06-08,3.4800000190734863,3.390000104904175,3.4800000190734863,3.390000104904175,135
2011-06-09,3.4800000190734863,3.450000047683716,3.4800000190734863,3.450000047683716,730
2011-06-10,3.4700000286102295,3.450000047683716,3.4700000286102295,3.450000047683716,230
2011-06-13,3.440000057220459,2.799999952316284,3.440000057220459,3.240000009536743,4704
2011-06-14,3.049999952316284,2.75,3.049999952316284,2.9000000953674316,4750
2011-06-15,3.0,2.1600000858306885,2.700000047683716,3.0,15540
2011-06-16,3.0,2.700000047683716,3.0,2.7100000381469727,2730
2011-06-17,2.8499999046325684,2.450000047683716,2.8499999046325684,2.7799999713897705,1522
2011-06-20,2.700000047683716,2.559999942779541,2.700000047683716,2.559999942779541,900
2011-06-21,2.5999999046325684,2.049999952316284,2.5999999046325684,2.2899999618530273,12766
2011-06-22,2.390000104904175,1.600000023841858,2.0,2.390000104904175,28021
2011-06-24,3.430000066757202,2.450000047683716,2.450000047683716,3.3299999237060547,36657
