Date,High_YUM,Low_YUM,Open_YUM,Close_YUM,Volume_YUM
2000-01-03,6.930715084075928,6.661125183105469,6.930715084075928,6.706057071685791,3033493
2000-01-04,6.739756107330322,6.470164775848389,6.6498918533325195,6.571261882781982,3315031
2000-01-05,6.6386590003967285,6.571261882781982,6.604959964752197,6.604959964752197,4642602
2000-01-06,6.616192817687988,6.537562847137451,6.560029029846191,6.5487961769104,3947658
2000-01-07,6.560029029846191,6.35783576965332,6.5487961769104,6.402768135070801,6063647
2000-01-10,6.739756107330322,6.3803019523620605,6.391534805297852,6.661125183105469,5531172
2000-01-11,6.739756107330322,6.52632999420166,6.604959964752197,6.616192817687988,4224745
2000-01-12,6.739756107330322,6.5487961769104,6.6498918533325195,6.5487961769104,9828250
2000-01-13,6.818386077880859,6.604959964752197,6.6274261474609375,6.6498918533325195,5522826
2000-01-14,6.661125183105469,6.436467170715332,6.6498918533325195,6.470164775848389,3188172
2000-01-18,6.425233840942383,6.22304105758667,6.3803019523620605,6.279205799102783,7497490
2000-01-19,6.245506763458252,5.998382091522217,6.234273910522461,6.043313980102539,9733662
2000-01-20,6.009614944458008,5.695093154907227,6.009614944458008,5.717558860778809,9039274
2000-01-21,5.784956932067871,5.706326007843018,5.717558860778809,5.728792190551758,7177004
2000-01-24,5.818655967712402,5.582764148712158,5.77372407913208,5.60522985458374,5581248
2000-01-25,5.60522985458374,5.32440710067749,5.60522985458374,5.459201812744141,7281050
2000-01-26,5.492900848388672,5.391804218292236,5.459201812744141,5.403037071228027,4549126
2000-01-27,5.492900848388672,5.391804218292236,5.414269924163818,5.414269924163818,5427682
2000-01-28,5.459201812744141,5.1671462059021,5.459201812744141,5.189611911773682,3942650
2000-01-31,5.279475212097168,5.122213840484619,5.257009029388428,5.144680023193359,2827068
2000-02-01,5.796189785003662,5.279475212097168,5.279475212097168,5.526599884033203,12357088
2000-02-02,5.47043514251709,5.066050052642822,5.391804218292236,5.200844764709473,10261129
2000-02-03,5.3693389892578125,5.2345428466796875,5.268241882324219,5.335639953613281,4141842
