Date,High_EQT,Low_EQT,Open_EQT,Close_EQT,Volume_EQT
2000-01-03,4.70366096496582,4.431478023529053,4.695155143737793,4.567568778991699,1723841
2000-01-04,4.805728912353516,4.550558090209961,4.550558090209961,4.720672130584717,2240405
2000-01-05,4.85676383972168,4.746189117431641,4.7632012367248535,4.85676383972168,2126511
2000-01-06,4.9673380851745605,4.814235210418701,4.839752197265625,4.916304111480713,1368198
2000-01-07,5.043889045715332,4.916304111480713,4.916304111480713,4.992855072021484,480559
2000-01-10,5.0268778800964355,4.848258018493652,5.001360893249512,4.848258018493652,438676
2000-01-11,4.8992919921875,4.788718223571777,4.831246852874756,4.788718223571777,436471
2000-01-12,4.797224044799805,4.746189117431641,4.780211925506592,4.780211925506592,271876
2000-01-13,4.848258018493652,4.729177951812744,4.771707057952881,4.839752197265625,1111018
2000-01-14,4.848258018493652,4.771707057952881,4.8227410316467285,4.8227410316467285,638541
2000-01-18,4.85676383972168,4.814235210418701,4.839752197265625,4.848258018493652,271141
2000-01-19,4.865269184112549,4.7632012367248535,4.848258018493652,4.865269184112549,571674
2000-01-20,4.865269184112549,4.780211925506592,4.865269184112549,4.831246852874756,668668
2000-01-21,4.9673380851745605,4.8227410316467285,4.8227410316467285,4.933314800262451,989776
2000-01-24,4.984348773956299,4.839752197265625,4.9673380851745605,4.873775005340576,373278
2000-01-25,4.8992919921875,4.695155143737793,4.865269184112549,4.712166786193848,461454
2000-01-26,4.788718223571777,4.729177951812744,4.7376837730407715,4.788718223571777,560652
2000-01-27,4.788718223571777,4.7376837730407715,4.771707057952881,4.7632012367248535,436471
2000-01-28,4.797224044799805,4.729177951812744,4.746189117431641,4.780211925506592,593718
2000-01-31,4.814235210418701,4.695155143737793,4.797224044799805,4.695155143737793,471007
2000-02-01,4.70366096496582,4.627109050750732,4.669638156890869,4.70366096496582,367400
2000-02-02,4.788718223571777,4.6781439781188965,4.6781439781188965,4.746189117431641,565061
2000-02-03,4.814235210418701,4.729177951812744,4.729177951812744,4.746189117431641,337273
