Date,High_ADP,Low_ADP,Open_ADP,Close_ADP,Volume_ADP
2000-01-03,42.77589416503906,41.18976593017578,42.42892837524414,41.23933410644531,2698899
2000-01-04,42.03239822387695,40.84280014038086,40.941932678222656,41.23933410644531,3141234
2000-01-05,41.18976593017578,40.04973602294922,41.18976593017578,40.84280014038086,3008836
2000-01-06,41.98283004760742,40.69409942626953,41.140201568603516,41.388031005859375,2121771
2000-01-07,42.676761627197266,41.6358642578125,42.329795837402344,42.329795837402344,1892407
2000-01-10,43.420257568359375,41.933265686035156,42.03239822387695,43.37069320678711,1722181
2000-01-11,43.122859954833984,42.28022766113281,42.92459487915039,42.52806091308594,1087932
2000-01-12,42.7263298034668,41.834129333496094,42.52806091308594,42.13153076171875,1108990
2000-01-13,42.13153076171875,41.586299896240234,42.13153076171875,41.883697509765625,1314648
2000-01-14,41.933265686035156,40.44626998901367,41.140201568603516,41.437599182128906,2138541
2000-01-18,41.28889846801758,38.909706115722656,41.04106521606445,39.058406829833984,2826379
2000-01-19,43.22199249267578,39.10797119140625,39.15753936767578,42.87502670288086,4264472
2000-01-20,42.825462341308594,39.95060348510742,42.329795837402344,40.297569274902344,3220295
2000-01-21,40.89236831665039,39.65320587158203,40.89236831665039,40.09930419921875,2826253
2000-01-24,40.44626998901367,39.45494079589844,40.44626998901367,39.65320587158203,2919562
2000-01-25,40.69409942626953,39.801902770996094,40.04973602294922,40.49583435058594,2439778
2000-01-26,41.140201568603516,39.7027702331543,41.140201568603516,40.44626998901367,1759379
2000-01-27,40.99150085449219,37.72011184692383,40.644535064697266,39.801902770996094,2568393
2000-01-28,39.65320587158203,38.265342712402344,39.6036376953125,38.81057357788086,1732142
2000-01-31,38.81057357788086,37.12531280517578,38.81057357788086,37.62097930908203,2152285
2000-02-01,38.562740325927734,37.026180267333984,37.6705436706543,38.21577453613281,1747526
2000-02-02,38.265342712402344,35.09308624267578,38.265342712402344,36.13398361206055,2998371
2000-02-03,38.86014175415039,36.33224868774414,36.48094940185547,38.562740325927734,3202389
2000-02-04,39.058406829833984,37.96794128417969,38.51317596435547,38.06707763671875,1296743
2000-02-07,38.265342712402344,36.877479553222656,38.06707763671875,36.877479553222656,1554603
2000-02-08,37.27401351928711,36.48094940185547,37.27401351928711,36.92704772949219,2684903
2000-02-09,37.22444534301758,35.5391845703125,36.92704772949219,35.68788528442383,2266904
2000-02-10,37.96794128417969,35.737449645996094,35.83658218383789,37.5714111328125,2229958
2000-02-11,37.27401351928711,36.084415435791016,37.27401351928711,36.33224868774414,1208351
