Date,High_GE,Low_GE,Open_GE,Close_GE,Volume_GE
2000-01-03,307.62725830078125,298.619873046875,306.2511291503906,300.2462158203125,3675284
2000-01-04,296.242919921875,288.2363586425781,294.74169921875,288.2363586425781,3683877
2000-01-05,294.24127197265625,285.3590087890625,287.7359313964844,287.7359313964844,4545070
2000-01-06,294.1161804199219,285.4841003417969,286.48492431640625,291.5828552246094,3309484
2000-01-07,303.999267578125,294.24127197265625,296.242919921875,302.87335205078125,3354147
2000-01-10,308.37786865234375,302.498046875,305.6256103515625,302.7482604980469,2535669
2000-01-11,305.6256103515625,301.4972229003906,302.2478332519531,303.2486572265625,2518433
2000-01-12,306.75152587890625,301.37213134765625,302.3729553222656,304.2494812011719,3054543
2000-01-13,310.1293029785156,306.2511291503906,306.5013427734375,307.7523498535156,2490206
2000-01-14,309.5037841796875,299.3704833984375,307.0017395019531,302.2478332519531,3077524
2000-01-18,299.4955749511719,293.7408752441406,299.4955749511719,296.242919921875,3046949
2000-01-19,302.12274169921875,292.74005126953125,293.2404479980469,297.6816101074219,2472921
2000-01-20,299.74578857421875,285.4841003417969,298.3696594238281,292.1145324707031,5122296
2000-01-21,296.7433166503906,288.1112365722656,296.1178283691406,288.486572265625,3997619
2000-01-24,292.1145324707031,273.09893798828125,290.8634948730469,276.4767150878906,4515644
2000-01-25,280.98040771484375,274.224853515625,276.3515930175781,277.2273254394531,4227780
2000-01-26,284.6083679199219,277.9779357910156,281.2306213378906,283.1071472167969,2640633
2000-01-27,283.732666015625,274.3499755859375,283.35736083984375,283.732666015625,3204620
2000-01-28,281.2306213378906,267.4693298339844,280.8553161621094,268.2199401855469,4970371
2000-01-31,272.0981140136719,266.3434143066406,268.2199401855469,268.2199401855469,3627473
2000-02-01,274.224853515625,268.2199401855469,268.7203369140625,272.2232360839844,4552764
2000-02-02,275.47589111328125,268.34503173828125,274.4750671386719,268.34503173828125,3633718
2000-02-03,279.8544921875,270.72198486328125,272.0981140136719,278.7285461425781,3369235
2000-02-04,286.48492431640625,281.2306213378906,282.2314147949219,283.35736083984375,3025367
2000-02-07,283.732666015625,271.9730224609375,283.6075439453125,273.2240295410156,3045001
2000-02-08,277.10223388671875,273.2240295410156,273.3491516113281,274.3499755859375,3113295
2000-02-09,275.6009826660156,268.34503173828125,274.224853515625,268.34503173828125,2668460
2000-02-10,274.0997619628906,266.468505859375,269.3458557128906,271.0972900390625,3191980
2000-02-11,274.8503723144531,267.3442077636719,270.3466796875,267.71954345703125,3422591
2000-02-14,272.0981140136719,267.3442077636719,267.71954345703125,268.9705505371094,2421663
2000-02-15,278.2281494140625,268.0948486328125,268.2199401855469,275.2256774902344,3134677
2000-02-16,274.0997619628906,268.9705505371094,273.4742431640625,271.53515625,2419814
2000-02-17,271.47259521484375,260.21337890625,269.97137451171875,262.21502685546875,4815898
2000-02-18,264.091552734375,250.08006286621094,262.21502685546875,250.4553680419922,5883072
2000-02-22,260.21337890625,250.3302764892578,252.70721435546875,259.4627685546875,4534778
2000-02-23,266.09320068359375,256.960693359375,260.21337890625,261.2142028808594,3656349
2000-02-24,266.09320068359375,252.3319091796875,260.8388977050781,262.21502685546875,4599325
2000-02-25,262.08990478515625,251.581298828125,259.2125549316406,252.45701599121094,4441255
2000-02-28,264.7170715332031,252.20681762695312,252.20681762695312,259.08746337890625,4503454
2000-02-29,268.2199401855469,260.4635925292969,261.4643859863281,264.96728515625,3759415
2000-03-01,267.9697265625,261.714599609375,267.2191162109375,262.96563720703125,4444503
2000-03-02,272.4734191894531,261.9648132324219,262.96563720703125,270.72198486328125,3311432
2000-03-03,281.2306213378906,274.3499755859375,274.72528076171875,278.978759765625,3957402
2000-03-06,279.2289733886719,269.4709777832031,279.2289733886719,275.1005859375,3080572
