Date,High_SGO,Low_SGO,Open_SGO,Close_SGO,Volume_SGO
2000-01-04,193.39999389648438,185.0,188.0,190.0,423
2000-01-05,190.0,183.0,190.0,188.0,192
2000-01-06,198.85699462890625,167.9239959716797,167.9239959716797,194.43800354003906,3606
2000-01-07,194.43800354003906,174.552001953125,194.43800354003906,176.76199340820312,1320
2000-01-10,182.89999389648438,182.89999389648438,182.89999389648438,182.89999389648438,2
2000-01-11,194.43800354003906,176.76199340820312,194.43800354003906,183.39100646972656,1071
2000-01-12,181.18099975585938,159.08599853515625,178.9720001220703,172.34300231933594,903
2000-01-13,188.39999389648438,180.10000610351562,185.0,180.10000610351562,113
2000-01-14,172.34300231933594,165.71400451660156,167.9239959716797,165.71400451660156,375
2000-01-18,165.71400451660156,159.08599853515625,163.5050048828125,159.08599853515625,406
2000-01-19,159.08599853515625,150.2480010986328,159.08599853515625,150.2480010986328,787
2000-01-20,163.5050048828125,145.82899475097656,150.2480010986328,161.2949981689453,1136
2000-01-21,167.0,165.3000030517578,166.3000030517578,165.3000030517578,378
2000-01-24,169.5,165.0,169.5,165.0,285
2000-01-25,154.66700744628906,148.03799438476562,150.2480010986328,154.66700744628906,600
2000-01-26,157.0,157.0,157.0,157.0,62
2000-01-27,160.0,155.0,156.1999969482422,155.10000610351562,130
2000-01-28,167.0,152.0,165.0,152.0,554
2000-01-31,153.0,145.0,153.0,145.0,597
2000-02-01,187.80999755859375,176.76199340820312,176.76199340820312,183.39100646972656,1558
2000-02-02,234.2100067138672,183.39100646972656,185.60000610351562,216.5330047607422,7302
2000-02-03,159.0,154.1999969482422,154.1999969482422,159.0,150
2000-02-04,216.5330047607422,216.5330047607422,216.5330047607422,216.5330047607422,0
2000-02-07,155.0,151.0,152.0,151.0,308
2000-02-08,194.43800354003906,176.76199340820312,194.43800354003906,185.60000610351562,574
2000-02-09,183.39100646972656,159.08599853515625,181.6230010986328,163.5050048828125,918
2000-02-10,163.5050048828125,150.2480010986328,163.5050048828125,163.5050048828125,1258
2000-02-11,190.0189971923828,161.2949981689453,163.5050048828125,190.0189971923828,2517
2000-02-14,156.0,146.0,146.0,150.0,568
2000-02-15,218.7429962158203,176.76199340820312,176.76199340820312,216.5330047607422,5046
2000-02-16,150.0,142.6999969482422,150.0,144.0,292
2000-02-17,150.0,143.0,143.0,150.0,197
2000-02-18,143.0,130.0,143.0,134.0,2714
2000-02-22,194.43800354003906,185.60000610351562,187.3679962158203,185.60000610351562,1138
2000-02-23,198.85699462890625,187.80999755859375,194.43800354003906,187.80999755859375,1080
2000-02-24,196.6479949951172,176.76199340820312,184.2740020751953,176.76199340820312,895
2000-02-25,183.39100646972656,176.76199340820312,178.9720001220703,181.18099975585938,969
2000-02-28,172.34300231933594,159.08599853515625,167.9239959716797,159.08599853515625,1582
2000-02-29,144.0,138.0,142.89999389648438,138.0,229
2000-03-01,170.13299560546875,163.5050048828125,167.9239959716797,167.9239959716797,602
2000-03-02,141.5,139.0,140.5,141.5,261
2000-03-03,142.0,136.0,137.0,142.0,243
2000-03-06,142.0,131.1999969482422,136.10000610351562,131.1999969482422,625
2000-03-07,165.71400451660156,156.87600708007812,159.08599853515625,163.5050048828125,731
2000-03-08,136.1999969482422,127.0,131.0,127.0,719
2000-03-09,133.0,121.0,130.0,126.0,672
2000-03-10,167.9239959716797,159.08599853515625,161.2949981689453,163.5050048828125,1159
2000-03-13,190.0189971923828,176.76199340820312,178.08799743652344,185.60000610351562,1813
2000-03-14,203.2760009765625,181.18099975585938,192.22900390625,181.18099975585938,2517
2000-03-15,137.0,133.89999389648438,133.89999389648438,136.0,293
2000-03-16,194.43800354003906,174.552001953125,174.552001953125,187.80999755859375,2706
2000-03-17,141.89999389648438,135.0,140.0,135.0,155
2000-03-20,139.89999389648438,136.5,136.5,138.0,47
2000-03-21,185.60000610351562,178.9720001220703,185.60000610351562,178.9720001220703,684
2000-03-22,139.0,136.0,139.0,136.0,35
2000-03-23,134.89999389648438,132.0,133.10000610351562,134.89999389648438,667
2000-03-24,176.76199340820312,167.9239959716797,176.76199340820312,167.9239959716797,478
2000-03-27,135.39999389648438,130.1999969482422,130.1999969482422,135.39999389648438,125
2000-03-28,137.0,135.0,135.0,137.0,147
2000-03-29,167.9239959716797,159.08599853515625,167.9239959716797,163.5050048828125,540
2000-03-30,165.71400451660156,161.2949981689453,165.71400451660156,163.5050048828125,401
2000-03-31,139.8000030517578,132.0,139.8000030517578,136.0,113
2000-04-03,165.71400451660156,154.66700744628906,164.83099365234375,154.66700744628906,327
2000-04-04,150.2480010986328,136.99099731445312,150.2480010986328,136.99099731445312,402
2000-04-05,132.57200622558594,110.47599792480469,132.57200622558594,119.31400299072266,493
2000-04-06,134.781005859375,121.52400207519531,128.15199279785156,132.57200622558594,432
2000-04-07,148.39999389648438,140.0,148.39999389648438,140.0,90
2000-04-10,141.41000366210938,132.57200622558594,141.41000366210938,132.57200622558594,481
2000-04-11,142.0,135.5,142.0,135.5,646
2000-04-12,123.73300170898438,110.47599792480469,121.52400207519531,110.47599792480469,498
2000-04-13,142.0,142.0,142.0,142.0,270
2000-04-14,92.80010223388672,88.38099670410156,92.80010223388672,92.80010223388672,724
2000-04-17,66.28579711914062,59.65719985961914,59.65719985961914,61.86669921875,613
2000-04-18,75.1239013671875,59.65719985961914,75.1239013671875,59.65719985961914,841
2000-04-19,149.0,149.0,149.0,149.0,35
2000-04-20,59.65719985961914,57.44770050048828,59.65719985961914,57.44770050048828,410
2000-04-24,145.0,145.0,145.0,145.0,0
2000-04-25,153.39999389648438,149.0,149.0,153.39999389648438,604
2000-04-26,156.0,151.5,155.0,151.5,225
2000-04-27,156.5,150.3000030517578,156.5,155.0,121
2000-04-28,64.07620239257812,59.65719985961914,59.65719985961914,61.86669921875,117
2000-05-01,155.8000030517578,155.8000030517578,155.8000030517578,155.8000030517578,0
2000-05-02,64.07620239257812,55.23809814453125,57.44770050048828,55.23809814453125,498
2000-05-03,55.23809814453125,53.02859878540039,55.23809814453125,53.02859878540039,632
2000-05-04,162.1999969482422,156.0,157.60000610351562,161.0,1324
2000-05-05,61.86669921875,53.02859878540039,55.23809814453125,61.86669921875,300
2000-05-08,169.0,160.0,162.5,160.0,180
2000-05-09,160.0,160.0,160.0,160.0,0
2000-05-10,57.44770050048828,53.02859878540039,55.23809814453125,57.44770050048828,291
2000-05-11,53.02859878540039,53.02859878540039,53.02859878540039,53.02859878540039,91
2000-05-12,53.02859878540039,48.60960006713867,53.02859878540039,48.60960006713867,358
2000-05-15,53.02859878540039,48.60960006713867,53.02859878540039,48.60960006713867,87
2000-05-16,165.0,164.10000610351562,164.89999389648438,165.0,86
2000-05-17,53.02859878540039,48.60960006713867,53.02859878540039,48.60960006713867,368
2000-05-18,167.0,164.0,165.0,167.0,284
2000-05-19,162.0,158.1999969482422,161.1999969482422,158.1999969482422,504
2000-05-22,48.60960006713867,44.19049835205078,44.19049835205078,44.19049835205078,448
2000-05-23,167.89999389648438,157.60000610351562,167.89999389648438,163.0,352
2000-05-24,48.60960006713867,44.19049835205078,44.19049835205078,48.60960006713867,1096
2000-05-25,161.5,154.0,161.5,154.0,198
2000-05-26,44.19049835205078,44.19049835205078,44.19049835205078,44.19049835205078,272
2000-05-30,46.400001525878906,44.19049835205078,46.400001525878906,44.19049835205078,93
2000-05-31,48.60960006713867,44.19049835205078,46.400001525878906,46.400001525878906,487
2000-06-01,143.3000030517578,143.3000030517578,143.3000030517578,143.3000030517578,0
2000-06-02,48.60960006713867,46.400001525878906,48.60960006713867,46.400001525878906,143
2000-06-05,158.0,153.5,153.5,158.0,33
2000-06-06,48.60960006713867,48.60960006713867,48.60960006713867,48.60960006713867,18
2000-06-07,57.44770050048828,53.02859878540039,53.02859878540039,57.44770050048828,586
