Date,High_BNP,Low_BNP,Open_BNP,Close_BNP,Volume_BNP
2000-01-03,39.0,39.0,39.0,39.0,0
2000-01-04,39.0,39.0,39.0,39.0,0
2000-01-05,39.0,39.0,39.0,39.0,0
2000-01-06,39.0,39.0,39.0,39.0,0
2000-01-07,39.0,39.0,39.0,39.0,0
2000-01-10,39.0,39.0,39.0,39.0,0
2000-01-11,39.0,39.0,39.0,39.0,0
2000-01-12,39.0,39.0,39.0,39.0,0
2000-01-13,39.0,39.0,39.0,39.0,0
2000-01-14,43.0,42.5,43.0,42.5,436
2000-01-18,42.5,42.5,42.5,42.5,0
2000-01-19,42.5,42.5,42.5,42.5,0
2000-01-20,42.5,42.5,42.5,42.5,0
2000-01-21,42.5,42.5,42.5,42.5,0
2000-01-24,42.5,42.5,42.5,42.5,0
2000-01-25,42.5,42.5,42.5,42.5,0
2000-01-26,42.5,42.5,42.5,42.5,0
2000-01-27,42.5,42.5,42.5,42.5,0
2000-01-28,42.5,42.5,42.5,42.5,0
2000-01-31,42.5,42.5,42.5,42.5,0
2000-02-01,43.0,42.5,43.0,42.5,436
2000-02-02,43.0,42.5,43.0,42.5,436
2000-02-03,43.0,42.5,43.0,42.5,436
2000-02-04,43.0,42.5,43.0,42.5,436
2000-02-07,43.0,42.5,43.0,42.5,436
2000-02-08,43.0,42.5,43.0,42.5,436
2000-02-09,43.0,42.5,43.0,42.5,436
2000-02-10,43.0,42.5,43.0,42.5,436
2000-02-11,43.0,42.5,43.0,42.5,436
2000-02-14,43.0,42.5,43.0,42.5,436
2000-02-15,42.5,42.5,42.5,42.5,0
2000-02-16,42.5,42.5,42.5,42.5,0
2000-02-17,42.5,42.5,42.5,42.5,0
2000-02-18,42.5,42.5,42.5,42.5,0
2000-02-22,42.5,42.5,42.5,42.5,0
2000-02-23,42.5,42.5,42.5,42.5,0
2000-02-24,42.5,42.5,42.5,42.5,0
2000-02-25,42.5,42.5,42.5,42.5,0
2000-02-28,42.5,42.5,42.5,42.5,0
2000-02-29,42.5,42.5,42.5,42.5,0
2000-03-01,43.0,42.5,43.0,42.5,436
2000-03-02,43.0,42.5,43.0,42.5,436
2000-03-03,43.0,42.5,43.0,42.5,436
2000-03-06,43.0,42.5,43.0,42.5,436
2000-03-07,45.0,45.0,45.0,45.0,690
2000-03-08,45.0,45.0,45.0,45.0,0
2000-03-09,45.0,45.0,45.0,45.0,0
2000-03-10,40.5,40.5,40.5,40.5,200
2000-03-13,40.5,40.5,40.5,40.5,0
2000-03-14,40.5,40.5,40.5,40.5,0
2000-03-15,40.5,40.5,40.5,40.5,0
2000-03-16,40.5,40.5,40.5,40.5,0
2000-03-17,40.5,40.5,40.5,40.5,0
2000-03-20,40.5,40.5,40.5,40.5,0
