Date,High_DTE,Low_DTE,Open_DTE,Close_DTE,Volume_DTE
2000-01-03,26.70212745666504,25.4255313873291,26.70212745666504,25.585105895996094,672453
2000-01-04,25.63829803466797,25.159574508666992,25.159574508666992,25.63829803466797,659410
2000-01-05,26.755319595336914,25.79787254333496,25.79787254333496,26.43617057800293,444385
2000-01-06,26.70212745666504,26.117021560668945,26.382978439331055,26.32978630065918,338988
2000-01-07,26.595745086669922,26.276596069335938,26.382978439331055,26.595745086669922,666578
2000-01-10,27.340425491333008,26.648935317993164,27.180850982666016,26.755319595336914,743540
2000-01-11,26.755319595336914,26.382978439331055,26.648935317993164,26.755319595336914,422648
2000-01-12,27.180850982666016,26.595745086669922,26.648935317993164,26.86170196533203,1200498
2000-01-13,27.021276473999023,26.542552947998047,26.96808433532715,26.80851173400879,377645
2000-01-14,27.021276473999023,26.382978439331055,26.86170196533203,26.542552947998047,481633
2000-01-18,26.648935317993164,25.957447052001953,26.542552947998047,26.223403930664062,295160
2000-01-19,27.340425491333008,26.276596069335938,26.382978439331055,27.127660751342773,683263
2000-01-20,28.989362716674805,27.127660751342773,27.23404312133789,28.82978630065918,1158315
2000-01-21,31.914894104003906,28.82978630065918,29.5744686126709,31.648935317993164,1446778
2000-01-24,35.15957260131836,31.80851173400879,33.191490173339844,31.96808433532715,2141555
2000-01-25,32.34042739868164,30.0,32.021278381347656,30.4255313873291,908745
2000-01-26,30.53191566467285,30.106382369995117,30.478723526000977,30.53191566467285,520878
2000-01-27,30.4255313873291,29.36170196533203,30.4255313873291,29.787233352661133,1132230
2000-01-28,29.521276473999023,28.29787254333496,29.36170196533203,28.29787254333496,463303
2000-01-31,29.787233352661133,28.404254913330078,28.617021560668945,29.5744686126709,1064550
2000-02-01,30.053190231323242,29.521276473999023,29.680850982666016,29.5744686126709,748475
2000-02-02,29.414894104003906,28.617021560668945,29.30851173400879,28.67021369934082,453550
2000-02-03,29.414894104003906,28.67021369934082,28.67021369934082,29.148935317993164,732730
2000-02-04,29.255319595336914,28.19148826599121,29.20212745666504,28.29787254333496,642255
2000-02-07,28.29787254333496,27.76595687866211,28.29787254333496,28.085105895996094,438040
2000-02-08,28.29787254333496,28.03191566467285,28.244680404663086,28.085105895996094,682205
2000-02-09,28.404254913330078,27.553190231323242,28.085105895996094,27.553190231323242,613115
2000-02-10,27.819149017333984,27.127660751342773,27.76595687866211,27.393617630004883,778438
2000-02-11,27.819149017333984,27.393617630004883,27.393617630004883,27.659574508666992,384460
2000-02-14,28.404254913330078,27.606382369995117,27.872339248657227,27.819149017333984,599015
2000-02-15,28.29787254333496,27.76595687866211,27.9255313873291,28.085105895996094,608180
2000-02-16,28.29787254333496,27.659574508666992,28.13829803466797,27.712766647338867,443915
2000-02-17,28.244680404663086,27.553190231323242,28.085105895996094,27.659574508666992,558595
2000-02-18,27.712766647338867,27.23404312133789,27.659574508666992,27.340425491333008,385400
2000-02-22,27.659574508666992,26.96808433532715,27.553190231323242,27.0744686126709,381640
2000-02-23,26.914894104003906,26.17021369934082,26.86170196533203,26.276596069335938,354968
2000-02-24,26.542552947998047,25.372339248657227,26.43617057800293,25.585105895996094,728618
2000-02-25,25.69148826599121,24.787233352661133,25.585105895996094,25.053190231323242,530043
2000-02-28,25.69148826599121,24.787233352661133,25.0,25.319149017333984,881955
2000-02-29,25.79787254333496,25.106382369995117,25.319149017333984,25.69148826599121,514533
2000-03-01,25.851064682006836,24.840425491333008,25.53191566467285,25.0,424763
2000-03-02,25.319149017333984,24.840425491333008,25.319149017333984,25.0,714988
2000-03-03,25.212766647338867,24.787233352661133,24.893617630004883,25.106382369995117,583505
2000-03-06,26.382978439331055,25.212766647338867,26.382978439331055,25.372339248657227,1341968
2000-03-07,25.904254913330078,25.0,25.372339248657227,25.0,978893
2000-03-08,25.53191566467285,24.787233352661133,24.946809768676758,25.319149017333984,672218
2000-03-09,25.744680404663086,25.26595687866211,25.319149017333984,25.744680404663086,1032708
2000-03-10,26.542552947998047,25.851064682006836,25.957447052001953,26.17021369934082,991230
2000-03-13,26.43617057800293,25.478723526000977,25.53191566467285,26.010637283325195,1053623
