nom;ticker
Solvay;SOLB
X-Fab;XFAB
Virbac;VIRP
Icade;ICAD
Beneteau;BEN
Bollore;BOL
Mersen;MRN
Nexans;NEX
Credit Agricole;ACA
Sopra Steria Group;SOP
Atos;ATO
Teleperformance;TEP
Hermes;RMS
Metropole Tv;MMT
Derichebourg;DBG
Ubisoft Entertainment;UBI
Tf1;TFI
Covivio;COV
Lectra;LSS
Alten;ATE
Safran;SAF
Ipsos;IPS
Jc Decaux Sa.;DEC
Air Liquide;AI
Carrefour;CA
TotalEnergies;TTE
L'oreal;OR
Accor Hotels;AC
Bouygues;EN
Sanofi;SAN
Axa;CS
Danone;BN
Pernod Ricard;RI
Imerys;NK
Bic;BB
Lvmh;MC
Eurazeo;RF
Forvia (ex: Faurecia);FRVIA
Wendel Invest.;MF
Sodexo;SW
Thales;HO
Kering;KER
EssilorLuxottica;EL
Seb;SK
Klepierre;LI
Schneider Electric;SU
Veolia Environ.;VIE
Plastic Omnium;POM
Saint Gobain;SGO
CapGemini;CAP
Vinci;DG
Vivendi;VIV
Remy Cointreau;RCO
Eiffage;FGR
Publicis Groupe;PUB
Societe Generale;GLE
Bnp Paribas;BNP
Eramet;ERA
Renault;RNO
Orange;ORA
Orpea;ORP
Interparfums;ITP
Valneva;VLA
Amundi;AMUN
Trigano;TRI
Bureau Veritas;BVI
Gecina Nom.;GFC
Nexity;NXI
Engie;ENGI
Alstom;ALO
Eutelsat Com.;ETL
Mercialys;MERY
Ipsen;IPN
SES Imagotag;SESL
Legrand SA;LR
Arkema;AKE
Adp;ADP
Clariane (ex: Korian);CLARI
Scor;SCR
Rexel;RXL
Argan;ARG
Getlink;GET
Coface;COFA
Carmila;CARM
Edenred;EDEN
ID Logistics;IDL
Fnac Darty;FNAC
Neoen;NEOEN
GTT;GTT
Elior Group;ELIOR
Worldline;WLN
Voltalia;VLTSA
Elis;ELIS
Spie;SPIE
Sartorius Stedim Biotech;DIM
Valeo;FR
CGG;CGG
Soitec Silicon;SOI
Ald;ALD
Rubis;RUI
Biomerieux;BIM
Unibail Rodamco Westfield;URW
Solutions 30;S30
Verallia;VRLA
Francaise des jeux;FDJ
Vallourec;VK
Eurofins Scient.;ERF
Dassault Systemes;DSY
Dassault Aviation;AM
Euroapi;EAPI
Michelin;ML
Air France - KLM;AF
SES Sa;SESG
Aperam;APAM
Arcelor Mittal;MT
Stmicroelectronics;STMPA
Airbus;AIR
Euronext;ENX
Technip Energies;TE
Stellantis;STLAP
