Date,High_^NYA,Low_^NYA,Open_^NYA,Close_^NYA,Volume_^NYA
2020-01-02,14003.3896484375,13913.0302734375,13913.0302734375,14002.490234375,3459930000
2020-01-03,13950.740234375,13870.740234375,13877.48046875,13917.0498046875,3484700000
2020-01-06,13943.2998046875,13852.73046875,13856.7197265625,13941.7998046875,3702460000
2020-01-07,13923.509765625,13880.5302734375,13911.1904296875,13898.4501953125,3435910000
2020-01-08,13986.6904296875,13896.58984375,13897.009765625,13934.4404296875,3726840000
2020-01-09,14004.419921875,13960.169921875,13974.0703125,13997.650390625,3641230000
2020-01-10,14021.650390625,13941.51953125,14018.1201171875,13957.9697265625,3214580000
2020-01-13,14042.650390625,13963.8701171875,13980.4697265625,14042.650390625,3459390000
2020-01-14,14068.580078125,14005.6298828125,14024.23046875,14037.1298828125,3687620000
2020-01-15,14089.9404296875,14021.1796875,14022.2998046875,14053.23046875,3721490000
2020-01-16,14142.3095703125,14094.8798828125,14103.5302734375,14141.7802734375,3540580000
2020-01-17,14183.259765625,14156.400390625,14168.1396484375,14183.2001953125,3726220000
2020-01-21,14153.01953125,14102.3896484375,14126.1201171875,14109.98046875,4104840000
2020-01-22,14168.2001953125,14104.0595703125,14147.8896484375,14110.240234375,3623780000
2020-01-23,14109.58984375,14003.2802734375,14064.2802734375,14102.0400390625,3766710000
2020-01-24,14120.01953125,13920.5703125,14120.01953125,13978.4697265625,3708780000
2020-01-27,13826.4296875,13742.009765625,13746.6298828125,13769.599609375,3831050000
2020-01-28,13913.58984375,13798.33984375,13812.650390625,13877.6103515625,3531570000
2020-01-29,13922.4404296875,13843.7900390625,13912.7900390625,13843.8095703125,3600250000
2020-01-30,13869.6396484375,13699.8095703125,13745.2001953125,13861.919921875,3790350000
2020-01-31,13788.2197265625,13573.0400390625,13783.8095703125,13614.099609375,4529700000
2020-02-03,13765.330078125,13655.8896484375,13655.8896484375,13677.919921875,3760460000
2020-02-04,13920.6298828125,13826.099609375,13826.099609375,13862.83984375,3996900000
2020-02-05,14029.91015625,13947.58984375,13964.0,14024.8603515625,4121480000
2020-02-06,14069.330078125,14023.48046875,14066.900390625,14034.9501953125,3887250000
2020-02-07,13987.509765625,13912.0400390625,13987.509765625,13931.9296875,3733920000
2020-02-10,13984.5498046875,13899.5302734375,13904.01953125,13984.48046875,3462730000
2020-02-11,14100.26953125,13984.48046875,13984.48046875,14054.080078125,3762940000
2020-02-12,14148.240234375,14108.51953125,14117.830078125,14136.98046875,3930910000
2020-02-13,14132.8798828125,14049.1298828125,14069.25,14099.0400390625,3500890000
2020-02-14,14110.1904296875,14046.599609375,14104.76953125,14097.33984375,3419700000
2020-02-18,14072.6904296875,13990.7001953125,14047.91015625,14039.009765625,3750400000
2020-02-19,14115.9501953125,14066.240234375,14077.509765625,14087.1298828125,3614200000
2020-02-20,14104.919921875,13955.75,14061.0400390625,14061.48046875,4019180000
2020-02-21,14014.6298828125,13931.1298828125,14014.6298828125,13975.7802734375,3908780000
2020-02-24,13654.0,13493.6796875,13654.0,13534.1201171875,4851160000
2020-02-25,13582.740234375,13110.08984375,13570.2099609375,13143.73046875,5596760000
2020-02-26,13323.33984375,13041.9404296875,13194.3095703125,13046.6201171875,5484650000
2020-02-27,12977.1796875,12544.990234375,12841.400390625,12547.25,7064710000
2020-02-28,12547.25,12024.4501953125,12547.25,12380.9697265625,8569570000
2020-03-02,12830.1298828125,12316.1796875,12441.4296875,12827.990234375,6381330000
